"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"MOUSE_PART";"PROD_ID";"REV";"VALUE";
"3V3";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
"BT1";"ML414H";"ML414H_IV01E_BATTERY";"ML414H_IV01E";"SEIKO ML414H-IV01E Reflowable Lithium Battery";"";"";"";"BATT-14267";"";"";
"BT2";"ML414H_IV01E_BATTERY";"ML414H_IV01E_BATTERY";"ML414H_IV01E";"SEIKO ML414H-IV01E Reflowable Lithium Battery";"";"";"";"BATT-14267";"";"";
"BYP";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-00810";"";"0.1uF";
"C2";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"";"";"CAP-00811";"";"10uF";
"C3";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-08604";"";"0.1uF";
"C4";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-08604";"";"0.1uF";
"C5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"CAP-00868";"";"1.0uF";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-00810";"";"0.1uF";
"C7";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"";"";"CAP-07822";"";"0.22uF";
"C8";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"";"";"";"CAP-08913";"";"47pF";
"C13";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"";"";"CAP-07822";"";"0.22uF";
"D1";"3.3V";"DIODE-ZENER-MM3Z3V3T1G";"SOD-323";"Zener Diode";"";"";"";"DIO-11284";"";"3.3V";
"D2";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"DIO-00819";"";"RED";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"DIO-00819";"";"RED";
"D4";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"";"";"DIO-14084";"";"";
"D5";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"DIO-14072";"";"3A/10V/280mV";
"D6";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"DIO-14072";"";"3A/10V/280mV";
"D7";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"";"";"DIO-11623";"";"1A/23V/620mV";
"D8";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"DIO-08575";"";"BLUE";
"D9";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"DIO-08575";"";"BLUE";
"D10";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"DIO-08575";"";"BLUE";
"D11";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"";"";"";"DIO-10955";"";"0.5A/40V/420mV";
"D12";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"DIO-14072";"";"3A/10V/280mV";
"D13";"PESD0402";"PESD0402";"0402";"ESD protection diode";"";"PESD0402-140CT-ND";"650-PESD0402-140";"DIO-15359";"";"";
"E1";"ANTENNA-SMA-GROUNDEDEDGE_SMA";"ANTENNA-SMA-GROUNDEDEDGE_SMA";"SMA-EDGE";"SMA Antenna Connector w/ Ground";"";"";"";"CONN-08289";"";"";
"EN";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";
"F2";"6V/2A";"PPTC_6V2A";"1210";"Resettable Fuse PPTC";"";"";"";"RES-14313";"";"6V/2A";
"FB1";"FERRITE_BEAD-120_OHM-0402T";"FERRITE_BEAD-120_OHM-0402T";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"NDUC-14206";"";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";
"GEOF";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";
