"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"PROD_ID";"REV";"VALUE";
"C1";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"CAP-14993";"";"0.1uF";
"C2";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"CAP-14993";"";"0.1uF";
"C3";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"CAP-14232";"";"2.2uF";
"C4";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"CAP-14232";"";"2.2uF";
"C5";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"CAP-14993";"";"0.1uF";
"C6";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"CAP-14232";"";"2.2uF";
"C7";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"CAP-14232";"";"2.2uF";
"C8";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"CAP-14993";"";"0.1uF";
"C9";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"CAP-14993";"";"0.1uF";
"C10";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"CAP-14232";"";"2.2uF";
"C11";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"CAP-14993";"";"0.1uF";
"C12";"12pF";"12PF-0402T-50V-5%";"0402-TIGHT";"12pF ceramic capacitors";"";"";"CAP-14665";"";"12pF";
"C13";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"CAP-14993";"";"0.1uF";
"C14";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"CAP-14993";"";"0.1uF";
"C15";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"CAP-14232";"";"2.2uF";
"C16";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"CAP-14993";"";"0.1uF";
"C17";"12pF";"12PF-0402T-50V-5%";"0402-TIGHT";"12pF ceramic capacitors";"";"";"CAP-14665";"";"12pF";
"C18";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"CAP-14232";"";"2.2uF";
"C19";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"CAP-14993";"";"0.1uF";
"C20";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"CAP-14848";"";"10uF";
"C21";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"CAP-14848";"";"10uF";
"C22";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"CAP-14848";"";"10uF";
"C23";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"CAP-14848";"";"10uF";
"C24";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"CAP-14848";"";"10uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"DIO-00819";"";"RED";
"D2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"DIO-09003";"";"Yellow";
"D3";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"";"DIO-14084";"";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";
"GPIO10";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"I2C";"JUMPER-SMT_3_2-NC_TRACE_SILK";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";
"IC1";"USB224X_2241_V04";"USB224X_2241_V04";"36-QFN";"Microchip Technology USB224x Flash Media Controller 36-QFN";"";"";"IC-16527";"";"";
