"Part";"Value";"Device";"Package";"Description";"BOM";
"B1";"JSTPH2";"BATTERY";"JSTPH2";"CR1220 SMT - Digikey: 3001K-ND";"";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"D1";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID3";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"JP1";"";"HEADER-1X576MIL";"1X05_ROUND_76";"PIN HEADER";"";
"R1";"1M";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R2";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"SJ1";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";
"SJ2";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";
"SW1";"MANUAL";"SWITCH_TACT_SMT_EVQQ2_SMALL";"EVQ-Q2_SMALLER";"SMT Tact Switches";"";
"U$8";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";
"U$9";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";
"U1";"TPL5111DDC";"TPL5111";"SOT23-6";"TPL5111 Timer Based Power Gate";"";
"VR1";"200k";"TRIMPOTTC33X-2";"TRIMPOT_BOURNS_TC33X-2";"3-Pin SMT Trimpots";"";
