"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_ID";"VALUE";"VERSION";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C3";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"CAP-00811";"";"10uF";"";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C5";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"CAP-00811";"";"10uF";"";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C7";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"CAP-00811";"";"10uF";"";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C9";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"";"CAP-07876";"";"22pF";"";
"C10";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"";"CAP-07876";"";"22pF";"";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C12";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"";"CAP-00867";"";"10nF";"";
"C13";"47nF";"47NF(0.047UF/47000PF)-25V-5%(0603)SMD";"0603-CAP";"CAP-08605";"";"CAP-08605";"";"47nF";"";
"C14";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"";"CAP-00867";"";"10nF";"";
"C15";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"CAP-11015";"";"10uF";"";
"C16";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"CAP-11015";"";"10uF";"";
