"Part";"Value";"Device";"Package";"Description";"BOM";"TP_SIGNAL_NAME";
"C1";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C2";"1uF";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";"";
"C3";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C4";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C7";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C8";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"D1";"MM3Z24VT1G";"DIODESMA";"SMADIODE";"Diode";"";"";
"D2";"MBR0540";"DIODESOD-123";"SOD-123";"Diode";"";"";
"D3";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";
"FB1";"FERRITE";"FERRITE_0805MP";"_0805MP";"Ferrite Bead";"";"";
"FB2";"FERRITE";"FERRITE_0805MP";"_0805MP";"Ferrite Bead";"";"";
"FB3";"Ferrite";"FERRITE_0805MP";"_0805MP";"Ferrite Bead";"";"";
"FB4";"FERITE";"FERRITE_0805MP";"_0805MP";"Ferrite Bead";"";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"FID3";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"IC1";"AR1100_SSOP";"AR1100_SSOP";"TSSOP20-5.3MMBODY";"";"";"";
"J1";"40PINFPCM4-1734839-0";"40PINFPCM4-1734839-0";"4-1734839-0";"OMRON FPC Connector";"";"";
"L1";"6.8uH power L CID 2276";"INDUCTORNR5040";"INDUCTOR_5X5MM_NR5040_NOTHERMALS";"Inductors";"";"";
"LED1";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";
"R1";"20K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R2";"6Ω";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R3";"12Ω";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R4";"12Ω";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R5";"20K";"RESISTOR_0805MP";"_0805MP";"Resistors";"";"";
"R6";"33";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R7";"12Ω";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R8";"33";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R9";"33";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R10";"33";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R11";"33";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R12";"33";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R13";"470";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R14";"20K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"RPI1";"RASPBERRYPI_BPLUS-SMT+SLOTS";"RASPBERRYPI_BPLUS-SMT+SLOTS";"PI_HAT_SMT_SLOTS";"";"";"";
"SJ1";"+50mA";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";
"SJ2";"+25mA";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";
"SJ3";"+100mA";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";
"TP1";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP2";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP3";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP4";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP5";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
