"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CN1";"1X4-CLEANBIG";"1X4-CLEANBIG";"1X04-CLEANBIG";"4-pin connector";"";
"CN2";"1X4-CLEANBIG";"1X4-CLEANBIG";"1X04-CLEANBIG";"4-pin connector";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID3";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"IC1";"4093DT";"4093DT";"MC14093B-TSSOP14";"Quad 2-input NAND schmitt trigger";"";
"LED";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"Q1";"2N2222";"MMBT2222ALT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";
"Q2";"POWER PFET";"MOSFET-PWIDE";"SOT23-WIDE";"P-Channel Mosfet";"";
"R1";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"100K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"100K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"S1";"";"40-XX-ROUND";"B3F-40XX-ROUND";"OMRON SWITCH";"";
