"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SKU";"VALUE";
"C1";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"";"10uF";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C3";"10pF";"10PF-50V-5%(0603)";"0603-CAP";"CAP-11812";"CAP-11812";"";"10pF";
"C4";"10pF";"10PF-50V-5%(0603)";"0603-CAP";"CAP-11812";"CAP-11812";"";"10pF";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C6";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"";"4.7uF";
"C7";"1.0uF";"1.0UF-25V-+80/-20(0805)"";"0805-CAP";"CAP-11625";"CAP-11625";"";"1.0uF";
"C8";"5.6pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"CAP-12456";"";"";
"C9";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C10";"2.2uF";"2.2UF-10V-20%(0603)";"0603-CAP";"CAP-07888";"CAP-07888";"";"2.2uF";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C12";"47pF";"47PF-50V-5%(0603)";"0603-CAP";"CAP-08913";"CAP-08913";"";"47pF";
"C13";"47pF";"47PF-50V-5%(0603)";"0603-CAP";"CAP-08913";"CAP-08913";"";"47pF";
"C14";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C15";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"";"4.7uF";
"C16";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C17";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C18";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C19";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"";"4.7uF";
"D1";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"";"Yellow";
"D2";"BAT20J";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diodes in SFE's production catalog";"DIO-11623";"";"BAT20J";
"D3";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"DIO-08575";"";"BLUE";
"D4";"WS2812";"WS2812B";"WS2812B";"WS2812B - Intelligent control LED integrated light source";"DIO-12503";"";"";
"D5";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"";"RED";
"E1";"ANTENNATRACE";"ANTENNATRACE";"TRACE_ANTENNA_2.4GHZ_25.7MM";"Chip antenna";"";"";"";
"F1";"500mA";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"IC1";"LMV358";"OPAMP-DUALU";"SO08";"Generic op-amp footprint";"IC-09657";"";"";
"JP1";"JST_2";"M02JST-PTH-2";"JST-2-PTH";"Standard 2-pin 0.1" header. Use with";"CONN-09863";"PRT-09914";"";
"JP2";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP3";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP4";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP5";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP6";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP7";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP8";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP9";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP10";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP11";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP12";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP13";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP14";"JST-3";"M03JST-PTH-VERT";"JST-3-PTH-VERT";"Header 3";"CONN-13230";"";"";
"JP15";"USB";"USB_MICROB_PLUGCONN-11752";"USB-B-MICRO-SMD_V03";"USB Micro-B connectors";"CONN-11752";"";"";
"JP16";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP17";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP18";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP19";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP20";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP21";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP22";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP23";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP24";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
