"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"NAME";"";"";"v01";
"JP1";"";"M06SILK_FEMALE_PTH";"1X06";"Header 6";"";"CONN-08437";"";"";
"JP2";"";"M06SILK_FEMALE_PTH";"1X06";"Header 6";"";"CONN-08437";"";"";
"JP3";"";"M10X2ROUND_NOSILK";"2X10_ROUND_NOSILK";"This was SPECIALLY designed to be used with our Graphic LCD Backpack.  Be sure you want to use this!  It is not only staggered on each line of header holes, but IT IS ALSO offset of the center point of the top and bottom lines by 5 mil.  This causes the headers to lock into place on the "standard" footprint on the LCD screen.  The extra squares on the tdocu layer are there simply to reference other pins (if you were to actually populate a longer header than ten long - this is what we do with the backpacks).";"";"";"";"";
"JP4";"";"M10X2ROUND_NOSILK";"2X10_ROUND_NOSILK";"This was SPECIALLY designed to be used with our Graphic LCD Backpack.  Be sure you want to use this!  It is not only staggered on each line of header holes, but IT IS ALSO offset of the center point of the top and bottom lines by 5 mil.  This causes the headers to lock into place on the "standard" footprint on the LCD screen.  The extra squares on the tdocu layer are there simply to reference other pins (if you were to actually populate a longer header than ten long - this is what we do with the backpacks).";"";"";"";"";
"JP9";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"JP10";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"LOGO2";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";
"R1";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R3";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R4";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R5";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R6";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"SJ1";"";"JUMPER-PAD-3-NC_BY_TRACE";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ2";"VCC1-3.3V";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";
"SJ3";"VCC2-3.3V";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";
"SJ4";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ5";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ6";"A-VCC1";"JUMPER-PAD-2-NO";"PAD-JUMPER-2-NO_NO_SILK";"";"";"";"";"";
"SJ7";"GND";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"PAD-JUMPER-2-NC_BY_TRACE_NO_SILK";"";"";"";"";"";
"SJ8";"B-VCC2";"JUMPER-PAD-2-NO";"PAD-JUMPER-2-NO_NO_SILK";"";"";"";"";"";
"SJ9";"GND";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"PAD-JUMPER-2-NC_BY_TRACE_NO_SILK";"";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"U1";"SX1509";"SX1509";"QFN-28";"Semtech SX1509";"";"IC-11311";"SX1509";"";
