"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"BT1";"ML414H_IV01E_BATTERY";"ML414H_IV01E_BATTERY";"ML414H_IV01E";"SEIKO ML414H-IV01E Reflowable Lithium Battery";"";"BATT-14267";"";"";"";
"C1";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"";"1.0uF";
"C2";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"";"1.0uF";
"C3";"47pF";"47PF-0402-25V-5%-X7R";"0402";"47pF ceramic capacitors";"";"CAP-15063";"";"";"47pF";
"C4";"0.1uF";"0.1UF-0402-10V-10%-X7R";"0402";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C5";"1nF";"1.0NF/1000PF-0402-25V-10%-X7R";"0402";"1nF/1,000pF ceramic capacitors";"";"CAP-15061";"";"";"1nF";
"C6";"1nF";"1.0NF/1000PF-0402-25V-10%-X7R";"0402";"1nF/1,000pF ceramic capacitors";"";"CAP-15061";"";"";"1nF";
"C7";"0.1uF";"0.1UF-0402-10V-10%-X7R";"0402";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C8";"0.1uF";"0.1UF-0402-10V-10%-X7R";"0402";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";
"D2";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"";"BLUE";
"D3";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"";"BLUE";
"D4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"";"BLUE";
"D5";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"";"DIO-10955";"";"";"0.5A/40V/420mV";
"D6";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"DIO-14084";"";"";"";
"D7";"15V";"DIODE-ZENER-BZX84C15LT3G";"SOT23-3";"Zener Diode";"";"DIO-15071";"";"";"15V";
"D8";"15V";"DIODE-ZENER-BZX84C15LT3G";"SOT23-3";"Zener Diode";"";"DIO-15071";"";"";"15V";
"FB1";"120NH";"FERRITE_BEAD_GNSS";"0402_MURATA";"";"";"NDUC-15072";"";"";"120NH";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"H3";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
