"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY";"DIGIKEY_PART";"MOUSE_PART";"PROD_ID";"REV";"SF_ID";"SF_SKU";"VALUE";
"BT1";"LIPO-OUTLINE1000";"LIPO-OUTLINE1000";"LIPO-1000";"LiPo Battery Outlines";"";"";"";"";"BATT-13243";"";"";"PRT-13813";"";
"C1";"47pF";"47PF-0402-25V-5%-X7R";"0402";"47pF ceramic capacitors";"";"";"";"";"CAP-15063";"";"";"";"47pF";
"C2";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-13930";"";"";"";"1.0uF";
"C3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";
"C4";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-13930";"";"";"";"1.0uF";
"C5";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C6";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-13930";"";"";"";"1.0uF";
"C7";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C8";"4.7uF";"4.7UF-0603-35V-(20%)";"0603";"4.7µF ceramic capacitors";"";"";"";"";"CAP-14106";"";"";"";"4.7uF";
"C9";"4.7uF";"4.7UF-0603-35V-(20%)";"0603";"4.7µF ceramic capacitors";"";"";"";"";"CAP-14106";"";"";"";"4.7uF";
"C10";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"";"10uF";
"C11";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";
"C13";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";
"C14";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"";"10uF";
"C15";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";
"C16";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";
"C17";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-13930";"";"";"";"1.0uF";
"C18";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-13930";"";"";"";"1.0uF";
"C19";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"";"10uF";
"C20";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"";"10uF";
"C21";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";
"C22";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C23";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";
"C27";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";
"C28";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";
"C29";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";
"D1";"250mA/100V";"DIODE-BAS16J";"SOD-323";"Diode";"";"";"";"";"DIO-09646";"";"";"";"250mA/100V";
"D2";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"";"";"";"DIO-14084";"";"";"";"";
"D3";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"";"DIO-14072";"";"";"";"3A/10V/280mV";
"D6";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"";"";"";"DIO-14084";"";"";"";"";
"D7";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"";"DIO-14072";"";"";"";"3A/10V/280mV";
"D9";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"";"DIO-14072";"";"";"";"3A/10V/280mV";
"D10";"PESD0402-0402";"PESD0402-0402";"0402";"ESD protection diode";"";"";"PESD0402-140CT-ND";"650-PESD0402-140";"DIO-15359";"";"";"";"";
"E1";"SMA";"ANTENNA-SMA-GROUNDEDEDGE_SMA";"SMA-EDGE";"SMA Antenna Connector w/ Ground";"";"";"";"";"CONN-08289";"";"";"";"";
"FB1";"2.66Ω";"FERRITE_BEAD-0402-2.66Ω-1GHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"NDUC-15072";"";"";"";"2.66Ω";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";"";"";"";
"FRAME3";"FRAME-LEDGERNO_FOOTPRINT";"FRAME-LEDGERNO_FOOTPRINT";"DUMMY";"Schematic Frame - Ledger";"N. Seidle";"";"";"";"";"v10";"";"";"";
"J1";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J2";"";"CONN_04JST-SMD-LOCKING";"JST-4-SMD-1.25MM-LOCKING";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-15303";"";"";"";"";
"J3";"USB Female Type C Connector";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"CONN-14122";"";"";"";"";
"J4";"External";"I2C_STANDARDQWIIC";"JST04_1MM_RA";"SparkFun I2C Standard Pinout Header";"";"";"";"";"CONN-13694";"";"";"";"Qwiic Right Angle";
"J5";"USB Female Type C Connector";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"CONN-14122";"";"";"";"";
"J6";"";"CONN_05NO_SILK";"1X05_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J7";"";"CONN_041X04_NO_SILK_NO_POP";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J8";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"CONN-11443";"";"PRT-08612";"";"";
"J9";"";"CONN_04JST-SMD-LOCKING";"JST-4-SMD-1.25MM-LOCKING";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-15303";"";"";"";"";
"J10";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J11";"";"CONN_041X04_NO_SILK_NO_POP";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J12";"";"CONN_041X04_NO_SILK_NO_POP";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J13";"Internal";"I2C_STANDARDQWIIC";"JST04_1MM_RA";"SparkFun I2C Standard Pinout Header";"";"";"";"";"CONN-13694";"";"";"";"Qwiic Right Angle";
"J14";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J15";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J16";"MICRO-SD-PUSH-PUSH-EXT-PIN";"MICRO-SD-PUSH-PUSH-EXT-PIN";"MICROSD-EXTERNALPIN";"microSD Socket for Transflash";"";"";"";"";"CONN-16110";"";"";"";"";
"J17";"Qwiic Right Angle";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun I2C Standard Pinout Header";"";"";"";"";"";"";"";"";"";
"J18";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J19";"";"CONN_061MM-LIF";"FPC_6_1MM-LIF";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-16692";"";"";"";"";
"JP1";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";
"JP21";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
"JP61";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
"JP71";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
"JP81";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
"LOGO1";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";"";"";"";
"MEAS";"JUMPER-COMBO_2_NC_TRACE";"JUMPER-COMBO_2_NC_TRACE";"COMBO-JUMPER_2_NC_TRACE";"";"";"";"";"";"";"";"";"";"";
"MEAS1";"JUMPER-COMBO_2_NC_TRACE";"JUMPER-COMBO_2_NC_TRACE";"COMBO-JUMPER_2_NC_TRACE";"";"";"";"";"";"";"";"";"";"";
"Q1";"SIL2308-TP";"MOSFET_COMPLIMENTARY_PAIR-SIL2308";"SOT26";"Complementary pair enhancement mode MOSFET 1A and 4A";"";"";"";"";"TRANS-15717";"";"";"";"";
"Q2";"MBT3904DW1T1";"TRANS_NPN_DUAL-MBT3904DW1T1";"SC70-6";"Dual NPN Transistors in Single Package";"";"";"";"";"TRANS-13337";"";"";"";"";
"R1";"470";"470OHM-0603-1/10W-1%";"0603";"470Ω resistor";"";"";"";"";"RES-07869";"";"";"";"470";
"R2";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"";"RES-15081";"";"";"";"33";
"R3";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"";"RES-15081";"";"";"";"33";
"R4";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"";"RES-15081";"";"";"";"33";
"R5";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"";"";"";"RES-08609";"";"";"";"0";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"";"";"10k";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"";"1k";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"";"";"10k";
"R9";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"";"RES-15081";"";"";"";"33";
"R13";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"";"";"100k";
"R14";"10";"10OHM-0603-1/10W-1%";"0603";"10Ω resistor";"";"";"";"";"RES-12581";"";"";"";"10";
"R15";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"";"";"100k";
"R16";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"";"";"5.1k";
"R17";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"";"";"5.1k";
