"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C2";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C3";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C4";"10uF/20V";"CAP_POL3528";"EIA3528";"Capacitor Polarized";"";
"C5";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"JP2";"";"M06SMD";"1X06-SMD";"Header 6";"";
"JP3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"Q1";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";
"Q2";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";
"R1";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R2";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R3";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R4";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R5";"715";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R6";"240";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R7";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"U$1";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"U$2";"REVISION";"REVISION";"REVISION";"";"";
"U1";"V_REG_317SMD";"V_REG_317SMD";"SOT223";"Voltage Regulator";"";
"U2";"BLUETOOTH-RN41";"BLUETOOTH-RN41"";"RN41";"Bluetooth SMD module";"";
"U3";"V_REG_LDOSMD";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
