"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"SKU";
"BAT1";"CoinCell";"BATTERY12PTH";"BATTCON_12MM_PTH";"Battery Holders";"";"BATT-08315";"";"";"";
"C1";"10uF";"10UF-25V-20%(PTH)";"CPOL-RADIAL-10UF-25V";"CAP-08440";"";"CAP-08440";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"JP1";"";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";
"JP2";"POWER_JACKPTH_LOCK";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"Power Jack";"";"CONN-08197";"";"PRT-00119";"";
"JP3";"JST2";"M02JST-PTH-2";"JST-2-PTH";"Standard 2-pin 0.1" header. Use with";"";"CONN-09863";"";"";"PRT-09914";
"JP4";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"JP6";"";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";
"JP7";"";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";
"JP8";"";"M04PTH";"1X04";"Header 4";"";"";"";"";"";
"JP9";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"";"";
"JP10";"ARDUINO_R3_SHIELDUNO_R3_SHIELD_HOLES";"ARDUINO_R3_SHIELDUNO_R3_SHIELD_HOLES";"UNO_R3_SHIELD_HOLES";"Shield form compatible with the Arduino Uno R3.";"";"";"";"";"";
"JP11";"TEENSY-3.1SILK";"TEENSY-3.1SILK";"TEENSY-3.1";"";"";"";"";"DEV-12646";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";"";"";"";
"SJ1";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";"";
"SJ2";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";"";
"U1";"5V";"V_REG_78XX-TO-220";"TO-220-ALT";"Voltage Regulator";"";"VREG-08450";"";"COM-00107";"";
