"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"C1";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"";"1.0uF";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"";"0.1uF";
"C8";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"";"1.0uF";
"C13";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"";"10uF";
"C14";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"";"10uF";
"D5";"250mA/100V";"DIODEBAS16";"SOD-323";"Diode";"DIO-09646";"";"250mA/100V";
"D6";"250mA/100V";"DIODEBAS16";"SOD-323";"Diode";"DIO-09646";"";"250mA/100V";
"D7";"250mA/100V";"DIODEBAS16";"SOD-323";"Diode";"DIO-09646";"";"250mA/100V";
"D8";"250mA/100V";"DIODEBAS16";"SOD-323";"Diode";"DIO-09646";"";"250mA/100V";
"D9";"250mA/100V";"DIODEBAS16";"SOD-323";"Diode";"DIO-09646";"";"250mA/100V";
"D10";"250mA/100V";"DIODEBAS16";"SOD-323";"Diode";"DIO-09646";"";"250mA/100V";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"JP1";"I2C Port";"M04PTH";"1X04";"Header 4";"";"";"";
"JP2";"Soil/Water Temp";"M03PTH";"1X03";"Header 3";"";"";"";
"JP3";"Soil Moisture";"M03PTH";"1X03";"Header 3";"";"";"";
"JP4";"Serial1 Port";"M04PTH";"1X04";"Header 4";"";"";"";
"JP5-DNP";"5.5x2.1mm Barrel";"POWER_JACKSMD";"POWER_JACK_SMD";"Power Jack";"CONN-08106";"PRT-12748";"5.5x2.1mm Barrel";
"JP6-DNP";"";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"Standard 2-pin 0.1" header. Use with";"CONN-08399";"";"";
"JP7";"RJ11";"RJ11-6PTH";"RJ11-6";"RJ11 Jack";"CONN-08590";"";"RJ11";
"JP8";"RJ11";"RJ11-6PTH";"RJ11-6";"RJ11 Jack";"CONN-08590";"";"RJ11";
"JP9";"PHOTON_TEMPLATE_WIDE_LOCKING";"SPARK_PHOTONSPARK_PHOTON_TEMPLATE_WIDE_LOCKING";"SPARK_PHOTON_TEMPLATE_WIDE_LOCKING";"";"";"";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";"";
"LOGO2";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SFE Logo, name only";"";"";"";
"R1";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"RES-07857";"";"4.7K";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"";"10K";
"R3";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"";"10K";
"R11";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R12";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R13";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R14";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R15";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R16";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R17";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"RES-07857";"";"4.7K";
"SJ1";"";"JUMPER-PAD-3-NC_BY_TRACE";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"SJ2";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"SJ3";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";
"U1";"3.3V MIC5205";"MIC52053.3V";"SOT23-5";"MIC5205 150mA vreg";"VREG-00822";"";"";
"U2";"HTU21D";"HTU21DSMD";"HTU21D";"";"IC-11793";"";"";
"U3";"MPL3115A2LGA8";"MPL3115A2LGA8";"LGA8";"Altimeter/Pressure Sensor, I2C, 1.95V-3.6V supply, 50 to 110kPa";"IC-10869";"";"";
