"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"C1";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"CAP-14232";"";"2.2uF";
"C2";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C3";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"CAP-14232";"";"2.2uF";
"C4";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"CAP-14232";"";"2.2uF";
"C5";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C6";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C7";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C8";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C9";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C10";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C11";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"15pF ceramic capacitors";"";"CAP-13063";"";"15pF";
"C12";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C13";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"15pF ceramic capacitors";"";"CAP-13063";"";"15pF";
"C14";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C15";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"CAP-14232";"";"2.2uF";
"C29";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"D2";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"BLUE";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";
