"Part";"Value";"Device";"Package";"Description";"DIST";"DIST_ID";"PROD_ID";"VALUE";
"BAT1";"9V";"BC9VPCKIT_SOLDERMASK";"BC9VPC_KIT";"9V board-mount battery cradle";"";"";"";"";
"C1";".1uf";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"CAP-08370";"";
"C2";".1uf";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"CAP-08370";"";
"C3";"1uf";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"CAP-09184";"";
"C4";".47uf";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"CAP-09152";"";
"C5";".1uf";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"CAP-08370";"";
"C6";"10uf/25V";"10UF-25V-20%(PTH)KIT";"CPOL-RADIAL-10UF-25V-KIT";"CAP-08440";"";"";"CAP-08440";"";
"C7";"10uf/25V";"10UF-25V-20%(PTH)KIT";"CPOL-RADIAL-10UF-25V-KIT";"CAP-08440";"";"";"CAP-08440";"";
"C8";"10uf/25V";"10UF-25V-20%(PTH)KIT";"CPOL-RADIAL-10UF-25V-KIT";"CAP-08440";"";"";"CAP-08440";"";
"C9";"10uf/25V";"10UF-25V-20%(PTH)KIT";"CPOL-RADIAL-10UF-25V-KIT";"CAP-08440";"";"";"CAP-08440";"";
"C10";"10uf/25V";"10UF-25V-20%(PTH)KIT";"CPOL-RADIAL-10UF-25V-KIT";"CAP-08440";"";"";"CAP-08440";"";
"C11";".1uf";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"CAP-08370";"";
"C12";"1uf";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"CAP-09184";"";
"C13";"1uf";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"CAP-9184";"";
"C14";"10uf/25V";"10UF-25V-20%(PTH)KIT";"CPOL-RADIAL-10UF-25V-KIT";"CAP-08440";"";"";"CAP-08440";"";
"C15";"10uf/25V";"10UF-25V-20%(PTH)KIT";"CPOL-RADIAL-10UF-25V-KIT";"CAP-08440";"";"";"CAP-08440";"";
"C16";".1uf";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"CAP-08370";"";
"D1";"1n4148";"DIODEKIT";"DIODE-1N4148-KIT";"Diode";"";"";"";"";
"D2";"1n4148";"DIODEKIT";"DIODE-1N4148-KIT";"Diode";"";"";"";"";
"D3";"1n5819";"DIODE";"DIODE-1N4001-KIT";"Diode";"sparkfun";"COM-10926";"DIO-11895";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"IC1";"7556";"556KIT";"DIL14-KIT";"Dual timer circuit (2 555 timers in one package)";"";"";"IC-11898";"556";
"IC2";"CD4013B";"CD4013";"DIL14-KIT";"Dual D-type Flip-Flop";"";"";"IC-11896";"CD4013B";
"IC3";"LM358";"LM358KIT";"DIP08-KIT";"Jellybean op-amp";"";"";"IC-09172";"";
"IC4";"LM358";"LM358KIT";"DIP08-KIT";"Jellybean op-amp";"";"";"IC-09172";"";
"J1";"AUDIO-JACK2KIT";"AUDIO-JACK2KIT";"AUDIO-JACK-KIT";"Stereo audio jack with bypass switches.";"";"";"CONN-08774";"";
"JP1";"CV1";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP2";"CV2";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP3";"P1";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP4";"P1";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP5";"P2";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP6";"P2";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP7";"CAP1";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP8";"GATE";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP9";"IN";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP10";"P3";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP11";"P3";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP12";"P4";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP13";"P4";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP14";"SPK";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
