"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"CAP-07876";"22pF";
"C2";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"CAP-07876";"22pF";
"C3";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"10uF";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C5";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C9";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C10";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C11";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C12";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C13";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"10uF";
"C14";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"10uF";
"C15";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"C16";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"C17";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"10uF";
"C19";"47nF";"47NF(0.047UF/47000PF)-25V-5%(0603)SMD";"0603-CAP";"CAP-08605";"CAP-08605";"47nF";
"D1";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"DIO-11623";"1A/23V/620mV";
"D2";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"DIO-11623";"1A/23V/620mV";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"RED";
"D4";"PESD1CAN";"PESD1CAN";"SOT23-3";"CAN bus ESD protection diode";"DIO-12501";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"#4 Stand Off";"";"";
"H4";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"#4 Stand Off";"";"";
"J1";"Audio Jack";"AUDIO-JACKSMD2";"AUDIO-JACK-3.5MM-SMD";"3.5mm Audio Jack";"CONN-10353";"";
