"Part";"Value";"Device";"Package";"Description";"";
"C1";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C3";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C4";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"D1";"Red";"LED0603";"LED-0603";"LEDs";"";
"D2";"Green";"LED0603";"LED-0603";"LEDs";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"";"M06SIP";"1X06";"Header 6";"";
"JP2";"M01SMDNS";"M01SMDNS";"1X01NS";"Header 1";"";
"JP4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"Q1";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";
"Q2";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";
"R1";"330";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R2";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R3";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R4";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R5";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R6";"330";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R7";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R8";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R9";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"SJ1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"TP1";"";"TEST-POINT3X5";"PAD.03X.05";"";"";
"U$1";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"U$2";"REVISION";"REVISION";"REVISION";"";"";
"U1";"BLUETOOTH-RN41";"BLUETOOTH-RN41"";"RN41";"Bluetooth SMD module";"";
"U3";"3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
