"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C2";"2.2nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C3";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C4";"10nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"JP3";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";
"JP4";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";
"JP5";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"JP6";"M10"";"M10"";"1X10";"Header 10";"";
"R1";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R2";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"SJ1";"";"SOLDERJUMPER_2WAYPASTE2&3";"SJ_3_PASTE2&3";"Solder Jumper";"";
"SJ2";"";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";
"SJ3";"";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";
"U$1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"U$5";"REVISION";"REVISION";"REVISION";"";"";
"U1";"MPU-6050-1";"MPU-6050-1";"QFN-24-4MM2";"";"";
