"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP4,JP3";"STAND-OFF-TIGHT";2;"STAND-OFFTIGHT";;;
2;"R2,R1";"0603-RES";2;"10k";;;
3;"C4";"0603-CAP";1;"10nF";;;
4;"U$5";"REVISION";1;"REVISION";;;
5;"SJ1";"SJ_3_PASTE2&3";1;"";;;
6;"JP2,JP5";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
7;"JP6";"1X10";1;"M10"";;;
8;"C3,C1";"0603-CAP";2;"0.1uF";;;
9;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
10;"U1";"QFN-24-4MM2";1;"MPU-6050-1";;;
11;"C2";"0603-CAP";1;"2.2nF";;;
12;"U$2,U$3";"SFE-LOGO-FLAME";2;"";;;
13;"U$1";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
14;"SJ3,SJ2";"SJ_2S-TRACE";2;"";;;
15;"U$4";"SFE-NEW-WEB";1;"";;;
