"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_ID";"VALUE";"VERSION";
"C1";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"C3";"100uF";"100UF-POLAR-25V-20%(ELEC)";"PANASONIC_D";"100µF polarized capacitors";"";"CAP-12547";"";"100uF";"";
"C8";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"D1";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"1A/40V/500mV";"";
"D2";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"1A/40V/500mV";"";
"D3";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"1A/40V/500mV";"";
"D4";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"1A/40V/500mV";"";
"D5";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"1A/40V/500mV";"";
"D6";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"1A/40V/500mV";"";
"D7";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"1A/40V/500mV";"";
"D8";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"1A/40V/500mV";"";
"D9";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";"";
"D10";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";"";
