"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"MOUSER_PART";"MOUSE_PART";"PROD_ID";"REV";"VALUE";
"3V3_LED";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"0.1uF";
"C3";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"";"";"";"CAP-08280";"";"4.7uF";
"C4";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"0.1uF";
"C5";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"";"";"";"CAP-07822";"";"0.22uF";
"C6";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"0.1uF";
"C7";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"";"";"";"";"CAP-08913";"";"47pF";
"C8";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"";"";"";"";"CAP-08913";"";"47pF";
"C9";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"0.1uF";
"C10";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"";"";"";"";"CAP-08913";"";"47pF";
"C11";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"";"";"";"";"CAP-08913";"";"47pF";
"C12";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"0.1uF";
"C13";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"";"";"";"CAP-07822";"";"0.22uF";
"C14";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"0.1uF";
"C15";"68pF";"68PF-0603-50V-5%";"0603";"68pF ceramic capacitors";"";"";"";"";"CAP-14092";"";"68pF";
"C16";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"10uF";
"C17";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-00868";"";"1.0uF";
"C18";"33pF";"33PF-0402T-50V-5%";"0402-TIGHT";"33pF ceramic capacitors";"";"";"";"";"CAP-15358";"";"33pF";
"C19";"27pF";"27PF-0402-50V-5%";"0402";"27pF ceramic capacitors";"";"";"";"";"CAP-15357";"";"27pF";
"C20";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"0.1uF";
