"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"SF_SKU";"VALUE";
"BT1";"CR2032";"BATTERY-20MM_SMD_4LEGS_OVERPASTE";"BATTCON_20MM_4LEGS_OVERPASTE";"Battery - Single Cell";"";"PRT-11892 ";"";"";"BATT-10373";"";
"BYP";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"";"0.1uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C3";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"";"10uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C5";"47uF";"47UF-POLAR-PANASONIC_D-35V-20%";"PANASONIC_D";"47µF polarized capacitors";"";"CAP-08478";"";"";"";"47uF";
"C6";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"";"10uF";
"C7";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"";"";"10uF";
"C8";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"";"0.1uF";
"C9";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"";"1.0uF";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C11";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"CAP-07881";"";"";"";"15pF";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C13";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"CAP-07881";"";"";"";"15pF";
"C15";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"";"10uF";
"C16";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"";"1.0uF";
"C17";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"";"";"10nF";
"C18";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C19";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C28";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"CAP-07886";"";"";"";"1nF";
"D1";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"";"";"1A/40V/500mV";
"D2";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Green SMD LED";"";"DIO-09910";"";"";"";"GREEN";
"D3";"Yellow";"LED-YELLOWLILYPAD";"LED-1206";"Yellow SMD LED";"";"DIO-09909";"";"";"";"Yellow";
"D4";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"DIO-14072";"";"";"";"3A/10V/280mV";
"E1";"SPH0641LM4H-1";"SPH0641LM4H-1_MICROPHONE";"SPH0641LM4H-1_MICROPHONE";"SPH0641LM4H-1 Microphone";"";"IC-14361";"";"";"";"SPH0641LM4H-1";
"F2";"6V/2A";"PPTC_6V2A";"1210";"Resettable Fuse PPTC";"";"RES-14313";"";"";"";"6V/2A";
"FRAME3";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";
"IC3";"LM1117";"V_REG_LM1117ALT1";"SOT223-ALT1";"Voltage Regulator LM1117";"";"VREG-08170";"";"";"";"";
"J1";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J2";"CORTEX_DEBUG";"CORTEX_DEBUG_MINIMUM_PTH_NS";"2X5-PTH-1.27MM-NO_SILK";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";
"J3";"POWER_JACKTOE";"POWER_JACKTOE";"POWER_JACK_SMD_OVERPASTE_TOE";"Power Jack Connector";"";"CONN-08106";"";"PRT-12748";"";"";
"J4";"";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"";"";
"J5";"USB-C";"USB_C2-LAYER";"USB-C-16P";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";"";"";
"J7";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"JP1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";"";"";
"JP2";"M10SMD_COMBO";"M10SMD_COMBO";"1X10_SMD_COMBINED";"Header 10";"";"CONN-11219";"";"";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";
"JP5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";
"JP6";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";
"JP7";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";"";"";"";
"JP8";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"JP9";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"JP10";"";"CONN_08SMD-COMBO-FEMALE_NC";"1X08_SMD_COMBINED_NC";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-10204";"";"";"";"";
"JP11";"JP11";"CONN_08SMD-COMBO-FEMALE_NC";"1X08_SMD_COMBINED_NC";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-10204";"";"";"";"";
"JP12";"M10NO_SILK";"M10NO_SILK";"1X10_NO_SILK";"Header 10";"";"CONN-11219";"";"";"";"";
"JP13";"";"M06SMD-STRAIGHT-COMBO";"1X06_SMD_STRAIGHT_COMBO";"Header 6";"";"CONN-10203";"";"";"";"";
"JP14";"USB_SOLDER_PADS";"USB_SOLDER_PADS";"USB-SOLDER-PADS";"Solder pad access to USB pins. Helpful to expose on PCBs so user can attach external USB connector if necessary.";"";"";"";"";"";"";
"JP15";"";"M08NO_SILK";"1X08_NO_SILK@1";"Header 8";"";"CONN-10204";"";"";"";"";
