"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"10uF";"10UF-6.3V-20%(0603)(TANT)"";"0603-POL";"";"CAP-13210";"10uF";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"D1";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"DIO-08575";"BLUE";
"D3";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FID3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FID4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP2";"";"M06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Header 6";"CONN-08437";"";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";
"LOGO2";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open Source Hardware Logo";"";"";
"Q1";"16MHZ";"RESONATOR16MHZ";"RESONATOR-SMD";"Resonator";"XTAL-08900";"16MHZ";
"R1";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R6";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"TP1";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";
"TP2";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";
"TP3";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";
"TP4";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";
"TP5";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";
"U1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"";"IC-09069";"ATMEGA328P_TQFP";
"U2";"3.3V MIC5205";"MIC52053.3V";"SOT23-5";"MIC5205 150mA vreg";"VREG-00822";"";
"U3";"microSD Socket";"USD-SOCKET";"MICROSD_1:1";"microSD Socket";"CONN-07820";"";
