"Part";"Value";"Device";"Package";"Description";"";
"C3";"10uF";"CPOL-EUE2-5";"E2-5";"POLARIZED CAPACITOR, European symbol";"";
"C4";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";
"C5";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";
"C6";"0.1uf";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C7";"0.1uF";"C5/2.5";"C5B2.5";"CAPACITOR";"";
"C8";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";
"C9";"0.1uf";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C10";"0.1uf";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C11";"0.1uf";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C12";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";
"C13";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";
"C17";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";
"IC1";"PIC24FJ64GA002-DIP";"PIC24FJ64GA002-DIP";"DIL28-3";"";"";
"IC2";"MAX3223CPP";"MAX3223CPP";"DIL20";"RS-232 Transceivers with AutoShutdown";"";
"ICSP";"";"MA05-1";"MA05-1";"PIN HEADER";"";
"J1";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"";
"R1";"330R";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";
"R2";"240R";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";
"R3";"390R";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";
"R4";"2k2";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";
"R5";"2k2";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";
"R7";"2K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";
"SV3";"";"MA06-1";"MA06-1";"PIN HEADER";"";
"VR1";"";"LM317TS";"317TS";"VOLTAGE REGULATOR";"";
"VR2";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"";
"X1";"";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";
"X2";"";"F09H";"F09H";"SUB-D";"";
