"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"CAPC603";"C603";"";"";
"C2";"0.1uF";"CAPC603";"C603";"";"";
"C3";"0.1uf";"CAPC603";"C603";"";"";
"C4";"0.1uF";"CAPC603";"C603";"";"";
"C5";"0.1uF";"CAPC603";"C603";"";"";
"C6";"0.1uF";"CAPC603";"C603";"";"";
"C7";"1uf";"CAPC603";"C603";"";"";
"C8";"1uF";"CAPC603";"C603";"";"";
"C9";"1uF";"CAPC603";"C603";"";"";
"C10";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C11";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"H1";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round";"";
"H2";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round";"";
"H3";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round";"";
"H4";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round";"";
"I/O";"HEADER2X5-SHRD-PTH-B";"HEADER2X5-SHRD-PTH-B";"PINSHRD_PTH_2X05B";"Shrouded pin header, 2.54mm pitch";"";
"IC1";"PIC24FJ64GA002";"PIC24FJ64GA002";"SO28W";"";"";
"IC2";"FT232RLSSOP";"FT232RLSSOP";"SSOP28DB";"USB UART";"";
"IC3";"4066";"4066";"TSSOP14";"Quad bilateral ANALOG SWITCH";"";
"ICSP";"M05X1PTH";"M05";"1X05";"Header 5";"";
"J1";"CONN_USB";"CONN_USB";"CONN_USB_MINI-B";"USB connector";"";
"L1";"700mA+ ferrite bead";"WE-KIL_0805";"WE-KI_0805_B";"SMD Wire Wound Ceramic Inductor WE-KIL";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED1A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED2A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED3A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED4";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED4A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"R1";"2K";"RESISTORR603";"R603";"";"";
"R2";"1K1";"RESISTORR603";"R603";"";"";
"R3";"1K1";"RESISTORR603";"R603";"";"";
"R4";"1K1";"RESISTORR603";"R603";"";"";
"R5";"2K";"RESISTORR603";"R603";"";"";
"R6";"1K1";"RESISTORR603";"R603";"";"";
"RN1";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN2";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN3";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"VR1";"MCP1801T-3302I/OT";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
"VR2";"MCP1801T-3302I/OT";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
"VR3";"MCP1801T-5002I/OT";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
