"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C2";"10uF";"10UF-TANT";"EIA3216";"10uF Tantalum SMT";"CAP-00811";"10uF";
"C3";"100uF";"100UF-63V-20%(ELECT)";"NIC_10X10.5_CAP";"CAP-08362";"CAP-08362";"100uF";
"C4";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"CAP-09885";"0.22uF";
"C5";"0.22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"CAP-09885";"0.22uF";
"C6";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"C7";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"C8";"47uF";"47UF-TANT";"EIA3528";"47uF Tantalum SMT";"CAP-08310";"47uF";
"D1";"BAV99";"BAV99";"SOT23-3";"Two small signal silicon diodes connected anode to cathode.";"DIO-10647";"";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"M05X2SHD";"M05X2SHD";"2X5-SHROUDED";"Header 5x2";"";"";
"JP2";"M05X2SHD";"M05X2SHD";"2X5-SHROUDED";"Header 5x2";"";"";
"JP3";"";"M03X2SHROUD";"2X3-SHROUDED";"2x3 .1" header.";"CONN-10681";"";
"JP4";"";"M03X2SHROUD";"2X3-SHROUDED";"2x3 .1" header.";"CONN-10681";"";
"JP5";"";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"Header 2";"";"";
"JP6";"";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"Header 2";"";"";
"JP7";"";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"Header 2";"";"";
"JP8";"";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"Header 2";"";"";
"JP9";"";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"Header 2";"";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";
"R1";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R2";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R3";"100";"100OHM1/10W1%(0603)";"0603-RES";"RES-07863";"RES-07863";"100";
"R4";"200k";"POT100K_3362U";"3362U";"";"";"";
"R5";"8.2k";"8.2KOHM-1/10W-5%(0603)";"0603-RES";"RES-10646";"RES-10646";"";
"R6";"33k";"33KOHM1/10W1%(0603)";"0603-RES";"RES-08416";"RES-08416";"";
"SJ1";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"SJ2";"2PT_GND_TIE";"2PT_GND_TIE";"2PT_GND_TIE";"Package for connecting two ground nets in one place.";"";"";
"SJ3";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"TP1";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";"";
"U$4";"FOUR_LAYER_WARNING";"FOUR_LAYER_WARNING";"FOUR_LAYER_WARNING";"Warning text which will appear on both the schematic";"";"";
"U1";"L6470 ";"L6470";"HTSSOP28";"3A RMS/7A peak bipolar stepper motor driver with SPI control";"IC-10648";"";
