"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C8";"10uF";"10UF-6.3V-20%(1206)";"1206";"CAP-10057";"CAP-10057";"10uF";
"C9";"47pF";"47PF-50V-5%(0603)";"0603-CAP";"CAP-08913";"CAP-08913";"47pF";
"C10";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"4.7uF";
"D3";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"DIO-08575";"BLUE";
"E1";"EDISON_CONNECTOR_FULLMOUNTING_HOLES";"EDISON_CONNECTOR_FULLMOUNTING_HOLES";"EDISON_DAUGHTER";"";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP2";"";"M06SMD";"1X06-SMD";"Header 6";"";"";
"L1";"";"INDUCTOR";"INDUCTOR-SRP4020";"Inductors";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";
"LOGO4";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"Q1";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"TRANS-00830";"";
"R5";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R8";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R9";"22";"22OHM1/10W1%(0603)";"0603-RES";"RES-08698";"RES-08698";"22";
"R13";"680k";"RESISTOR0603";"0603-RES";"Resistor";"";"";
"R14";"120k";"RESISTOR0603";"0603-RES";"Resistor";"";"";
"R15";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"S1";"POWER";"SWITCH-MOMENTARY-2TACTILE-SWITCH-SMD-RIGHT-ANGLE";"TACTILE_SWITCH-SMD-RIGHT-ANGLE";"Various NO switches- pushbuttons, reed, etc";"COMP-12265";"";
"S2";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"DPDT";
"SJ3";"JUMPER-PAD-2-NC_BY_TRACE";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";
"U$3";"EDISON_CONNECTOR_FULLHEADER";"EDISON_CONNECTOR_FULLHEADER";"DF40C-70DP-0.4(51)";"";"";"";
"U1";"";"TXB0104PWRSOIC14";"SO14";"4-Bit Bi-Directional Level Shifter";"IC-11329";"";
"U4";"TPS62065";"TPS62065";"WSON-8-PAD";"Texas Instruments TPS62172";"";"";
