"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"C1";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"CAP-08280";"";"4.7uF";
"C2";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"1.0uF";
"C3";"27pF";"27PF-0603-50V-5%";"0603";"27pF ceramic capacitors";"";"CAP-09989";"";"27pF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"JP1";"";"CONN_031X03_NO_SILK";"1X03_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";"";
"LOGO2";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R3";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"4.7k";
"R4";"300k";"300KOHM-0603-1/10W-1%";"0603";"300kΩ resistor";"";"RES-10809";"";"300k";
"U1";"OPA344";"OPA344";"SOT23-5";"Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.";"";"IC-08251";"";"OPA344";
"U2";"ICS40180";"ICS40180";"ICS40180";"ICS-40180 - RF-Hardened, Low-Noise MEMs Microphone with Bottom Port and Analog Output";"";"IC-15819";"";"";
