"Part";"Value";"Device";"Package";"Description";"BOM";"TP_SIGNAL_NAME";
"C2";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C4";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C5";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C6";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C7";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C9";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C10";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C11";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C13";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C14";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"FID3";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"LED1";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED2";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED3";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED4";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED5";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED6";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED7";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED8";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED9";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED10";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED11";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED12";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED13";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED14";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"LED15";"WS2812B5050-NARROW";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";"";
"R1";"470 ohm";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"TP1";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";"";
"TP2";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";"";
"TP3";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";"";
"TP4";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";"";
"TP5";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";"";
"TP6";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";"";
"U$1";"RING_END_CONN_X3";"RING_END_CONN_X3";"RING_END_CONN_X3";"";"";"";
"U$2";"RING_END_CONN_X3";"RING_END_CONN_X3";"RING_END_CONN_X3";"";"";"";
