"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"D1";"";"DIODESOD";"SOD-323";"Diode";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"M1";"MOTORSMD";"MOTORSMD";"VIBE-MOTOR-10MM-SMD";"Vibration Motor";"";"";
"R1";"33";"33K-1%";"0603-RES";"33k-ohm SMT";"RES-08416";"33k";
"U$2";"LOGO-LPLP";"LOGO-LPLP";"LOGO-LILYPAD";"";"";"";
"VIBE+";"SEWTAP6";"SEWTAP6";"PETAL-SMALL-2SIDE";"";"";"";
"VIBE-";"SEWTAP6";"SEWTAP6";"PETAL-SMALL-2SIDE";"";"";"";
"VIBE1";"SEWTAP-NOHOLE2";"SEWTAP-NOHOLE2";"PETAL-NOHOLE-2SIDE";"";"";"";
"VIBE2";"SEWTAP-NOHOLEW-MASK";"SEWTAP-NOHOLEW-MASK";"PETAL-NOHOLE-2SIDE-SPECIAL-W-MASK";"";"";"";
"VIBE3";"SEWTAP-NOHOLE2";"SEWTAP-NOHOLE2";"PETAL-NOHOLE-2SIDE";"";"";"";
"VIBE4";"SEWTAP-NOHOLE2";"SEWTAP-NOHOLE2";"PETAL-NOHOLE-2SIDE";"";"";"";
