"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"RS_PART_NUMBER";"RS_PRICE-STOCK";
"BAT1";"KEYSTONE 3001";"BATTERY";"KEYSTONE_3001";"";"";"";"";"";"";"";"";"";
"BR1";"MB6S";"DIODE-RECTIFIER-MB6S";"SOP254P665X270-4N";"MICRO COMMERCIAL COMPONENTS - MB6S-TP - BRIDGE RECTIFIER, 500mA, 600V";"MICRO COMMERCIAL COMPONENTS - MB6S-TP - BRIDGE RECTIFIER, 500mA, 600V";"2.7mm";"Micro Commercial Components (MCC)";"MB6S-TP";"833-MB6S-TP";"https://www.mouser.com/Search/Refine.aspx?Keyword=833-MB6S-TP";"";"";
"BR2";"MB6S";"DIODE-RECTIFIER-MB6S";"SOP254P665X270-4N";"MICRO COMMERCIAL COMPONENTS - MB6S-TP - BRIDGE RECTIFIER, 500mA, 600V";"MICRO COMMERCIAL COMPONENTS - MB6S-TP - BRIDGE RECTIFIER, 500mA, 600V";"2.7mm";"Micro Commercial Components (MCC)";"MB6S-TP";"833-MB6S-TP";"https://www.mouser.com/Search/Refine.aspx?Keyword=833-MB6S-TP";"";"";
"C1";"22u";"CAP-0805";"_PKG_C_0805";"";"";"";"";"";"";"";"";"";
"C2";"22u";"CAP-0805";"_PKG_C_0805";"";"";"";"";"";"";"";"";"";
"C4";"100n";"CAP-0603";"_PKG_C_0603";"";"";"";"";"";"";"";"";"";
"C5";"100n";"CAP-0603";"_PKG_C_0603";"";"";"";"";"";"";"";"";"";
"C6";"2u2";"CAP-0603";"_PKG_C_0603";"";"";"";"";"";"";"";"";"";
"C7";"470u";"CAP-POL-ELCO-D8-L10.5";"_CAP_ELCO_D8_L10.5";"";"";"";"";"";"";"";"";"";
"CON1";"";"TC2050-IDC-NL_CC-DEBUGGER";"TC2050-IDC-NL";"";"";"";"";"";"";"";"";"";
"D1";"SMAJ58CA";"DIODE-TVS-SMAJ58CA";"DIOM5126X250N-NOPOL";"DIODE, TVS, 58V, 300W, 2SMA Taiwan Semi SMAJ58CA Bi-Directional TVS Diode, 2-Pin SMA";"DIODE, TVS, 58V, 300W, 2SMA Taiwan Semi SMAJ58CA Bi-Directional TVS Diode, 2-Pin SMA";"2.5mm";"Taiwan Semiconductor";"SMAJ58CA";"N/A";"https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA";"";"";
"IC1";"TLV70333DBVR";"LDO-TLV70333DBVR";"SOT95P280X145-5N";"300mA Low-IQ Low-Dropout (LDO) Regulator";"300mA Low-IQ Low-Dropout (LDO) Regulator";"1.45mm";"Texas Instruments";"TLV70333DBVR";"595-TLV70333DBVR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TLV70333DBVR";"";"";
"IC2";"";"RTC-DS3231SN#";"SOIC127P1032X265-16N";"Real Time Clock Serial Maxim DS3231SN# Real Time Clock, Battery Backup, Calendar, Clock, I2C, 5.5 V, 16-Pin SOIC";"Real Time Clock Serial Maxim DS3231SN# Real Time Clock, Battery Backup, Calendar, Clock, I2C, 5.5 V, 16-Pin SOIC";"2.65mm";"Maxim Integrated";"DS3231SN#";"700-DS3231SN#";"https://www.mouser.com/Search/Refine.aspx?Keyword=700-DS3231SN%23";"1897251";"http://uk.rs-online.com/web/p/products/1897251";
"MOD1";"E18-MS1PA1-IPX/PCB";"EBYTE-E18-MS1PA1";"EBYTE-E18-MS1PA1";"";"";"";"";"";"";"";"";"";
"MOD2";"AG9805-MT";"SILVERTEL_AG9800M";"SILVERTEL_AG9800M";"";"";"";"";"";"";"";"";"";
"MOD3";"RPI-HAT-FULL";"RPI-HAT-FULL";"RPI-HAT-FULL";"";"";"";"";"";"";"";"";"";
"R4";"4K7";"RES-0603";"_PKG_C_0603";"";"";"";"";"";"";"";"";"";
"R5";"0";"TP_DUAL_1206";"TP_DUAL_1206";"To accomodate either0R 1206 link (oversized pads)2 x Harwin S2751-46R SMD Test Points (Digikey Link)";"";"";"";"";"";"";"";"";
"R6";"0";"TP_DUAL_1206";"TP_DUAL_1206";"To accomodate either0R 1206 link (oversized pads)2 x Harwin S2751-46R SMD Test Points (Digikey Link)";"";"";"";"";"";"";"";"";
"SW1";"DSHP03TS-S";"SWITCH-DIP03-SMD";"DSHP03TS-S";"";"";"";"";"";"";"";"";"";
"SW2";"";"SPNO-XKB-TS-1187A";"XKB-TS-1187A";"";"";"";"";"";"";"";"";"";
"TP1";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP2";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP3";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP4";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP5";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP6";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP7";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP8";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP9";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP10";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP11";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP12";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP13";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP14";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP15";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP16";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP17";"TP";"TP";"TP_DOT";"";"";"";"";"";"";"";"";"";
"TP18";"TP-HOOK";"TP-HOOK";"TP_S2751-46R";"";"";"";"";"";"";"";"";"";
"U$1";"LOGO-ELECTROLAMA";"LOGO-ELECTROLAMA";"ELECTROLAMA";"";"";"";"";"";"";"";"";"";
