"Part";"Value";"Device";"Package";"Description";"BOM";
"C2";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C5";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C7";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C8";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C10";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C14";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C16";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C17";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C19";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C20";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C21";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C22";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"D1";"MBR120";"DIODESOD-123";"SOD-123";"Diode";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"IC1";"74AHC1G125DBV";"74AHC1G125DBV";"SOT23-5";"Single Bus Buffer Gate with 3-State Output";"";
"JP1";"";"HEADER-1X1ROUND";"1X01_ROUND";"PIN HEADER";"";
"JP2";"";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";
"LED1";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED2";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED3";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED4";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED5";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED6";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED7";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED8";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED9";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED10";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED11";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED12";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED13";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED14";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED15";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED16";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED17";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED18";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED19";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED20";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED21";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED22";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED23";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"LED24";"WS2812B5050";"WS2812B5050-NARROW";"WS2812B-NARROW";"";"";
"R1";"470 ohm";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"SJ2";"";"SOLDERJUMPER_CLOSED";"SOLDERJUMPER_CLOSEDWIRE";"Solder Jumper - Closed";"";
"U$2";"PHOTON";"SPARK_CORE";"SPARK_CORE_STACKABLE";"";"";
"U$3";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";
"U$4";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";
"U$5";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";
"U$6";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";
"U$9";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";
"U$10";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";
"X1";"JST-2PH";"CON_JST_PH_2PIN";"JSTPH2";"JST 2-Pin Right-Angle Connector";"";
