"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_SKU";"VALUE";
"BYP";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C3";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"10uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C5";"47uF";"47UF-POLAR-PANASONIC_D-35V-20%";"PANASONIC_D";"47µF polarized capacitors";"";"CAP-08478";"";"";"47uF";
"C6";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"10uF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C15";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"10uF";
"C16";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C17";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"";"10nF";
"C18";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"D1";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"";"1A/40V/500mV";
"D2";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Green SMD LED";"";"DIO-09910";"";"";"GREEN";
"D3";"YELLOW";"LED-YELLOW_HIDDENSILK";"LED-1206-HIDDENSILK";"Yellow SMD LED";"";"DIO-09909";"";"";"YELLOW";
"F2";"6V/2A";"PPTC_6V2A";"1210";"Resettable Fuse PPTC";"";"RES-14313";"";"";"6V/2A";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";
"IC3";"LM1117";"V_REG_LM1117ALT1";"SOT223-ALT1";"Voltage Regulator LM1117";"";"VREG-08170";"";"";"";
"J2";"ISP";"AVR_SPI_PROG_3X2SMD";"2X3_SMT_POSTS";"AVR ISP 6 Pin";"";"";"";"";"";
"J3";"POWER_JACKSUPER_BOMB_DIGITY";"POWER_JACKSUPER_BOMB_DIGITY";"POWER_JACK_SMD_OVERPASTE_SUPER_BOMB_DIGITY";"Power Jack";"";"CONN-08106";"";"";"";
"J4";"QWIIC_RIGHT_ANGLE";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";
"J5";"USB C";"USB_C16PIN";"USB-C-16P";"USB Type C 16Pin Connector";"";"";"";"";"";
"JP1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";"";
"JP2";"M10SMD_COMBO";"M10SMD_COMBO";"1X10_SMD_COMBINED";"Header 10";"";"CONN-11219";"";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP6";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP7";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";"";"";
"JP8";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"JP9";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"JP10";"";"M08SMD-COMBO";"1X08_SMD_COMBINED@1";"Header 8";"";"CONN-10204";"";"";"";
