"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"0.1uF/50V";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C2";"22uF/63V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"JP2";"";"HEADER-1X476MIL";"1X04_ROUND_76";"PIN HEADER";"";
"R1";"30K";"FLIPFLOP-RES";"0805-THM";"Flip Flop resistor";"";
"U$9";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";
"U$10";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";
"U1";"DRV8871";"DRV8871";"HSOP8";"DRV8871 - 3.6A PWM Motor Driver";"";
"X1";"DCMOTOR";"TERMBLOCK_1X2";"TERMBLOCK_1X2-3.5MM";"3.5mm Terminal block";"";
"X2";"POWER";"TERMBLOCK_1X2";"TERMBLOCK_1X2-3.5MM";"3.5mm Terminal block";"";
