"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"MFG_PART";"MOUSE_PART";"PROD_ID";"REV";"VALUE";
"$1_25_$_2020-03-30_22-52-05";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";"";
"BT1";"ML414H_IV01E_BATTERY";"ML414H_IV01E_BATTERY";"ML414H_IV01E";"SEIKO ML414H-IV01E Reflowable Lithium Battery";"";"";"";"";"BATT-14267";"";"";
"C1";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-14993";"";"0.1uF";
"C2";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"1.0uF";
"C3";"1nF";"1.0NF/1000PF-0402-25V-10%-X7R";"0402";"1nF/1,000pF ceramic capacitors";"";"";"";"";"CAP-15061";"";"1nF";
"C4";"1nF";"1.0NF/1000PF-0402-25V-10%-X7R";"0402";"1nF/1,000pF ceramic capacitors";"";"";"";"";"CAP-15061";"";"1nF";
"C5";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-14993";"";"0.1uF";
"C6";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-14993";"";"0.1uF";
"C7";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-14993";"";"0.1uF";
"C8";"47pF";"47PF-0402-25V-5%-X7R";"0402";"47pF ceramic capacitors";"";"";"";"";"CAP-15063";"";"47pF";
"C9";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"1.0uF";
"C10";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"1.0uF";
"D1";"15V";"DIODE-ZENER-BZX84C15LT3G";"SOT23-3";"Zener Diode";"";"";"";"";"DIO-15071";"";"15V";
"D2";"15V";"DIODE-ZENER-BZX84C15LT3G";"SOT23-3";"Zener Diode";"";"";"";"";"DIO-15071";"";"15V";
"D3";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"";"";"";"DIO-14084";"";"";
"D4";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"";"DIO-00819";"";"RED";
"D5";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"";"DIO-08575";"";"BLUE";
"D6";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"";"DIO-08575";"";"BLUE";
"D7";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"";"DIO-08575";"";"BLUE";
"D8";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"";"";"";"";"DIO-10955";"";"0.5A/40V/420mV";
"D9";"PESD0402-0402";"PESD0402-0402";"0402";"ESD protection diode";"";"PESD0402-140CT-ND";"";"650-PESD0402-140";"DIO-15359";"";"";
"E1";"ANTENNA-SMA-GROUNDEDEDGE_SMA";"ANTENNA-SMA-GROUNDEDEDGE_SMA";"SMA-EDGE";"SMA Antenna Connector w/ Ground";"";"";"";"";"CONN-08289";"";"";
"FB1";"120Ω";"FERRITE_BEAD-120_OHM-0402";"0402";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"BLM15HB121SN1D";"";"NDUC-14206";"";"120Ω";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";
