"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"";"M04PTH";"1X04";"Header 4";"";"";
"JP2";"";"M03SCREW";"SCREWTERMINAL-3.5MM-3";"Header 3";"";"";
"JP3";"";"M03PTH";"1X03";"Header 3";"";"";
"JP4";"RJ45-8PTH";"RJ45-8PTH";"RJ45-8";"RJ45 Jack";"";"";
"JP5";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP6";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP7";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP8";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP9";"";"M05PTH";"1X05";"Header 5";"";"";
"JP10";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP15";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"LED3";"Green";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"R3";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R4";"220";"22OHM1/10W1%(0603)";"0603-RES";"RES-08698";"RES-08698";"22";
"U$2";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";
"U2";"RS485SOIC";"RS485SOIC";"SO08";"";"";"";
