"Part";"Value";"Device";"Package";"Description";"COEFF";"PROD_ID";"TOL";"VALUE";
"AE1";"ANTENNA22500AT44M0400";"ANTENNA22500AT44M0400";"ANTENNA-CHIP_2500AT44M0400";"Chip antenna";"";"";"";"";
"C1";"10uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C2";"10uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C3";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C4";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C5";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C6";"10pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"C0G";"";"5%";"";
"C7";"2.2pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"C0G";"";"10%";"";
"C8";"DNP";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"DIO-00821";"";"GREEN";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"J1";"U.FL";"U.FL";"U.FL";"SMD antenna connector- WRL-09144";"";"";"";"";
"JP1";"Debug";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP2";"M09";"M09";"1X09";"Header 9";"";"";"";"";
"L1";"DNP";"INDUCTOR0603";"0603";"Inductors";"";"";"";"";
"L2";"2.2nH";"INDUCTOR0603";"0603";"Inductors";"";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"LOGO3";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";"";"";
"LOGO4";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"R1";"240";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";
"R2";"390";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";
"R3";"390";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"R4";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"SJ1";"Mode";"SOLDERJUMPER_2WAYPASTE1&2";"SJ_3_PASTE1&2";"Solder Jumper";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"U1";"LM1117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"";
"U3";"74HC4050";"HEX_CONVERTER";"SO016";"Just what it says.";"";"";"";"";
"U5";"CC3000";"CC3000";"QFN-46_CC3000";"TI CC3000 WiFi Module";"";"";"";"";
