"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"D1";"XZM2CRKM2DGFBB45SCCB";"SUNLEDSMD1";"PLCC4SMDLED";"LED-RGB Common Cathode";"DIO-13722";"";"XZM2CRKM2DGFBB45SCCB";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";
"LOGO7";"REVISION";"REVISION";"REVISION";""Revision By" Text";"";"";"";
"R8";"200";"200OHM-0603-1/10W-1%";"0603";"200Ω resistor";"RES-08220";"";"200";
"R9";"100";"100OHM-0603-1/4W-5%";"0603";"100Ω resistor";"RES-12438";"";"100";
"R10";"100";"100OHM-0603-1/4W-5%";"0603";"100Ω resistor";"RES-12438";"";"100";
"R11";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"U$10";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$11";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"";"";"";"";
"U$12";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"";"";"";"";
"U$14";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$15";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$19";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"";"";"";"";
"U$22";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"";"";"";"";
"U$23";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$24";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$25";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"";"";"";"";
"U$26";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"";"";"";"";
"U$35";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"TAB_GATOR_MINI";"";"";"";"";
"U2";"LIGHT_SENSORTEMT6000";"LIGHT_SENSORTEMT6000";"TEMT6000";"Ambient Light Sensors - Phototransistors";"COMP-08569";"COM-08348";"";
"U3";"MCP9700TT";"MCP9700TT";"SOT23-3";"Microchip MCP9700 Analog-Output Temperature Sensor";"IC-08917";"";"";
