"Part";"Value";"Device";"Package";"Description";"";
"C1";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C2";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C3";"15pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C4";"15pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C5";"33nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C6";"33nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C7";"10n";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C8";"10n";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C10";"2.2nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C11";"1.0pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C12";"1.2pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C13";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C14";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"J$1";"SMA_EDGE";"SMA_EDGE";"SMA-EDGE";"SMA Antenna Connector";"";
"JP1";"M10"";"M10"";"1X10";"Header 10";"";
"JP2";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"L1";"4.7nH";"INDUCTOR0402";"C0402";"Inductors";"";
"L2";"6.8nH";"INDUCTOR0402";"C0402";"Inductors";"";
"L3";"6.8nH";"INDUCTOR0402";"C0402";"Inductors";"";
"Q1";"16MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Crystals";"";
"R1";"1M";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R2";"22k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"10";"RESISTOR1206";"1206";"Resistor";"";
"R4";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R5";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R6";"22";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R7";"22";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"U$12";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"U$13";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"U$14";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"U1";"3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
"U2";"NRF24LU1";"NRF24LU1";"QFN-32";"";"";
"X1";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"";
