"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MP";"PACKAGE";"PRICE";
"AD";"20609";"HEADER-1X6OVALWAVE";"1X06_OVALWAVE";"PIN HEADER";"";"";"";"";"";"";"";"";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C2";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C4";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C5";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C6";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C7";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C10";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C11";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C13";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C14";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C15";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C17";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C18";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"CHG1";"ORANGE";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";
"CONN1";"STEMMA_I2C_QT";"STEMMA_I2C_QT";"JST_SH4";"";"";"";"";"";"";"";"";"";
"D1";"MBR540";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";"";"";"";"";
"D4";"MBR540";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";"";"";"";"";
"F2";"500mA";"PTC1206";"1206";"PTC (Resettable Fuse)";"";"";"";"";"";"";"";"";
"FD1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FD2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FD3";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"IC2";"LC709203F";"LC709203F";"WDFN8_3X4_0.65";"";"";"";"";"";"";"";"";"";
"ICSP";"3x2 M";"HEADER-2X3";"2X03_ROUND_70MIL";"PIN HEADER";"";"";"";"";"";"";"";"";
"IOH";"20611";"HEADER-1X10OVALWAVE";"1X10_OVALWAVE";"PIN HEADER";"";"";"";"";"";"";"";"";
"IOL";"20610";"HEADER-1X8OVALWAVE";"1X08_OVALWAVE";"PIN HEADER";"";"";"";"";"";"";"";"";
"JP2";"UART";"HEADER-1X2ROUND";"1X02_ROUND";"PIN HEADER";"";"";"";"";"";"";"";"";
"L";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";
"LED1";"WS2812B3535";"WS2812B3535";"LED3535";"";"";"";"";"";"";"";"";"";
"ON";"GREEN";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";
"PC1";"47uF/25V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"PC2";"47uF+/6.3V+";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"POWER";"20610";"HEADER-1X8OVALWAVE";"1X08_OVALWAVE";"PIN HEADER";"";"";"";"";"";"";"";"";
"Q1";"DMG3415U-7";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";"";"";"";"";
"Q2";"DMG3415U-7";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";"";"";"";"";
"R1";"10K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";"";"";"";"";"";
"R2";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R3";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R4";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R6";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R8";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R9";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R12";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R14";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R15";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R16";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R17";"1Meg";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"SJ1";"";"SOLDERJUMPER_CLOSED";"SOLDERJUMPER_CLOSEDWIRE";"Solder Jumper - Closed";"";"";"";"";"";"";"";"";
"SW1";"RA_TACT";"SWITCH_SPST_TACT_RA";"SPST_TACTILE_RA";"Switch - SPST";"";"";"";"";"";"";"";"";
"SW3";"RA_TACT";"SWITCH_SPST_TACT_RA";"SPST_TACTILE_RA";"Switch - SPST";"";"";"";"";"";"";"";"";
"SW4";"SPDT R/A";"SWITCH_SPDT";"SPDT_SMT_SSSS811101";"Switch - SPDT";"";"";"";"";"";"";"";"";
"TP1";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";"";"";"";"";"";
"U1";"NCP1117ST50T3G";"LM1117SOT223-REFLOW";"SOT223-R";"LM1117 Voltage Regulator";"";"";"";"";"";"";"";"";
"U2";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";"";"";"";"";
"U3";"ESP32-S2-WROVER";"ESP32-S2-WROVER";"MODULE_ESP32-S2-WROVER";"WiFi 802.11b/g/n Transceiver Module 2.4GHz Antenna Not Included Surface Mount Check prices";"Warning";"";" WiFi 802.11b/g/n Transceiver Module 2.4GHz Antenna Not Included Surface Mount ";"https://snapeda.com/shop?store=DigiKey&id=4614060";"Espressif Systems";"ESP32-S2-WROVER";"VFQFN-56 Espressif Systems";"None";
"U4";"AP2112(3.3V)";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";
"X1";"JSTPH";"CON_JST_PH_2PIN_BATT";"JSTPH2_BATT";"JST 2-Pin Right-Angle Connector";"";"";"";"";"";"";"";"";
"X2";"4u20317";"JTAG-CORTEXBOXPOSTS";"2X05_1.27MM_BOX_POSTS";"Serial Wire (SW-DP) Connector";"";"";"";"";"";"";"";"";
"X4";"USB C";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"USB Type-C USB 2.0 Connector";"";"";"";"";"";"";"";"";
"X5";"2.1mm";"DCBARRELPTH";"DCJACK_2MM_PTH";"DC Barrel Jack";"";"";"";"";"";"";"";"";
