"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"BT1";"ML414H_IV01E_BATTERY";"ML414H_IV01E_BATTERY";"ML414H_IV01E";"SEIKO ML414H-IV01E Reflowable Lithium Battery";"";"BATT-14267";"";"";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";
"D2";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"";"DIO-08199";"";"3.6V";
"D4";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"";"DIO-08199";"";"3.6V";
"D5";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"";"DIO-08199";"";"3.6V";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FID3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FID4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"J2";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J3";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J4";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J6";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J7";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J8";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J9";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J10";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"LOGO2";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"LOGO4";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";
"Q2";"2.5A/30V/105mΩ";"MOSFET_PCH-DMG2307L";"SOT23-3";"P-channel MOSFETs";"";"TRANS-11308";"";"2.5A/30V/105mΩ";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R7";"470";"470OHM-0603-1/10W-1%";"0603";"470Ω resistor";"";"RES-07869";"";"470";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R9";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R10";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"S2";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"SWCH-14139";"";"";
"U3";"RV-3028";"RV-3028";"RV-3028";"RV-3028 - RTC with I2C Bus";"";"IC-14378";"";"";
