"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"10uF";
"C2";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"CAP-12416";"0.1uF";
"C3";"4.7uF";"4.7UF-0402_TIGHT-6.3V-20%-X5R";"0402-TIGHT";"4.7µF ceramic capacitors";"CAP-14240";"4.7uF";
"C6";"4.7uF";"4.7UF-0402_TIGHT-6.3V-20%-X5R";"0402-TIGHT";"4.7µF ceramic capacitors";"CAP-14240";"4.7uF";
"C7";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"CAP-12417";"1.0uF";
"C10";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"CAP-12417";"1.0uF";
"C19";"4.7uF";"4.7UF-0402_TIGHT-6.3V-20%-X5R";"0402-TIGHT";"4.7µF ceramic capacitors";"CAP-14240";"4.7uF";
"D1";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"Yellow";
"D2";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"DIO-11623";"1A/23V/620mV";
"D3";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"BLUE";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";
"H3";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";
"H4";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";
"J2";"";"CONN_12SM_SQ_NO_SILK";"1X12_SM_SQ_NOSILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J3";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"CONN-13694";"";
"J4";"";"CONN_161X16_SM_SQ_NOSILK";"1X16_SM_SQ_NOSILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J5";"";"USB_MICRO-B_HALF_PTH_MILL";"USB-MICROB-PTH-MILL";"USB Type Micro-B Connector";"CONN-13711";"";
"JP2";"LiPo";"CONN_02-JST-2MM-SMT";"JST-2-SMD";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-11443";"";
"LOGO2";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";
"LOGO4";"FOUR_LAYER_WARNING";"FOUR_LAYER_WARNING";"FOUR_LAYER_WARNING";"Four-Layer Board Warning - tDoc Layer";"";"";
"LOGO5";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";
"LOGO6";"QWIIC_LOGO_5MM";"QWIIC_LOGO_5MM";"QWIIC_5MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";
"Q1";"2.5A/30V";"MOSFET-PCHANNELDMG2307L";"SOT23-3@1";"Generic PMOSFET";"TRANS-11308";"2.5A/30V";
"Q2";"MBT3904DW1T1";"TRANS_NPN_DUAL-MBT3904DW1T1";"SC70-6";"Dual NPN Transistors in Single Package";"TRANS-13337";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R3";"1K";"1KOHM-1/10W-1%(0603)";"0603";"RES-07856";"RES-07856";"1K";
"R4";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"1k";
"R5";"22k";"22KOHM-0402_TIGHT-1/10W-1%";"0402-TIGHT";"22kΩ resistor";"RES-14281";"22k";
"R6";"2.0k";"2.0KOHM1/10W5%(0603)";"0603";"RES-08296";"RES-08296";"2.0k";
"R7";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R8";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"RES-13495";"100k";
"R9";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"RES-15128";"33k";
"R17";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R18";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"S1";"RESET";"MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"SWCH-13065";"";
"S2";"0";"MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"SWCH-13065";"";
"TP1";"";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";
"U3";"AP2112K-3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"VREG-12457";"";
"U4";"CP210X";"CP2102N";"QFN24";"";"IC-14020";"";
"U5";"ESP-WROOM-32EU";"ESP-WROOM-3232U-NARROW";"ESP-WROOM-32EU-NARROW";"ESP-WROOM-32D - trace antenna (includes keepout)";"IC-15442";"";
