"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";
"LOGO9";"REVISION";"REVISION";"REVISION";""Revision By" Text";"";"";"";
"S1";"MOMENTARY-SWITCH-SPST-SMD-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-11967";"";"COM-12993";
"S2";"REED_SWITCH-PTH-INSULATED";"REED_SWITCH-PTH-INSULATED";"REED_SWITCH_PLASTIC";"Reed Switch";"SWCH-10467";"";"COM-10601";
"S3";"";"SWITCH-SPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Single Pole, Double Throw (SPDT) Switch";"SWCH-08179";"COM-00597";"";
"S4";"MOMENTARY-SWITCH-SPST-SMD-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-11967";"";"COM-12993";
"U$10";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$11";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$12";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$14";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$15";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$16";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$17";"GATOR";"GATOR";"GATOR";"";"";"";"";
"U$19";"GATOR";"GATOR";"GATOR";"";"";"";"";
