"Part";"Value";"Device";"Package";"Description";"";
"JP3";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";
"JP4";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";
"Q1";"BSS138";"MOSFET-NREFLOW";"SOT23";"N-Channel Mosfet";"";
"Q2";"BSS138";"MOSFET-NREFLOW";"SOT23";"N-Channel Mosfet";"";
"Q3";"BSS138";"MOSFET-NREFLOW";"SOT23";"N-Channel Mosfet";"";
"Q4";"BSS138";"MOSFET-NREFLOW";"SOT23";"N-Channel Mosfet";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
