"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"PROD_ID_2";"VALUE";"VERSION";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";"";
"C3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";"";
"C5";"100uF";"100UF-POLAR-25V-20%(ELEC)";"PANASONIC_D";"100µF polarized capacitors";"";"CAP-12547";"";"100uF";"";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";"";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";"";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";"";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";"";
"C11";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"10nF";"";
"C12";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"C13";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"C14";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"1.0uF";"";
"C15";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"1.0uF";"";
"C16";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"10nF";"";
"C17";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";"";
"C18";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";"";
"C19";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";"";
"C20";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";"";
"C21";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";"";
"C22";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";"";
"C23";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";"";
"C24";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"CAP-12416";"";"0.1uF";"";
"C25";"10uF";"10UF-0805-25V-10%";"0805";"10.0µF ceramic capacitors";"";"CAP-14259";"";"10uF";"";
"C26";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"10nF";"";
"C27";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"10nF";"";
"D2";"BLUE";"LED-BLUE0603";"LED-0603@1";"Blue SMD LED";"";"DIO-08575";"";"BLUE";"";
"F2";"16V/2.5A(5A TRIP)";"PPTC_16V_2.5A";"1812";"Resettable Fuse PPTC";"";"RES-14390";"";"16V/2.5A(5A TRIP)";"";
"FD5";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
