"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"C6";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"CAP-12417";"";"1.0uF";
"C7";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"CAP-14848";"";"10uF";
"C8";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"CAP-14848";"";"10uF";
"C9";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C11";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"15pF ceramic capacitors";"";"CAP-13063";"";"15pF";
"C12";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C13";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"15pF ceramic capacitors";"";"CAP-13063";"";"15pF";
"C14";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C15";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C16";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C17";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C18";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C19";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"C20";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"CAP-14232";"";"2.2uF";
"C21";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"CAP-14232";"";"2.2uF";
"C22";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"CAP-14232";"";"2.2uF";
"C23";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"CAP-14232";"";"2.2uF";
"C29";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-14993";"";"0.1uF";
"D2";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"DIO-14072";"";"3A/10V/280mV";
"F1";"6V 0.5A";"PPTC_6V500MA";"0805";"Resettable Fuse PPTC";"";"RES-13945";"";"6V 0.5A";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";
"J2";"Qwiic";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"QWIIC_RIGHT_ANGLE";
"J3";"";"CONN_12CASTLE";"1X12_CASTELLATED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J4";"";"CONN_12CASTLE";"1X12_CASTELLATED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J5";"USB Female Type C Connector";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";
"JP1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"JP2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"JP14";"USB_SOLDER_PADS";"USB_SOLDER_PADS";"USB-SOLDER-PADS";"Solder pad access to USB pins. Helpful to expose on PCBs so user can attach external USB connector if necessary.";"";"";"";"";
"LED1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";
"LOGO3";"QWIIC_LOGO_6MM";"QWIIC_LOGO_6MM";"QWIIC_6MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";
"LOGO4";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";"";
"LOGO5";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";
"R1";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"RES-14340";"";"5.1k";
"R2";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"10k";
