"Part";"Value";"Device";"Package";"Description";"BOM";"POPULARITY";"REV";"TP_SIGNAL_NAME";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C3";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C4";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C5";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C7";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"F";"";
"C9";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C10";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C11";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C12";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C13";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"CHG";"ORANGE";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";
"CONN1";"STEMMA_I2C_QTRA";"STEMMA_I2C_QTRA";"JST_SH4_RA";"";"";"";"";"";
"D+1";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"19";"";"";
"D-1";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"19";"";"";
"D3";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";
"D4";"MBR540";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";
"IC3";"CP2102N-24";"CP2102N-24";"QFN24_4MM_SMSC";"";"";"";"";"";
"JP1";"";"HEADER-1X16ROUND";"1X16_ROUND";"PIN HEADER";"";"";"";"";
"JP3";"";"HEADER-1X12";"1X12_ROUND";"";"";"";"";"";
"LED1";"WS2812B3535";"WS2812B3535";"LED3535";"";"";"";"";"";
"Q3";"DMG3415U";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";
"Q5";"DUAL NPN";"MOSFET-N_DUAL";"SOT363";"Dual N-Channel MOSFET";"";"";"";"";
"R1";"200K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R2";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R3";"200K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R4";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R5";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R6";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R7";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R9";"47K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";"";
"R10";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R12";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R13";"10K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";"";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";
"SW2";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";
"U$31";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";
"U$32";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";
"U$34";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";
"U$35";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";
"U1";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";
"U3";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";
"X1";"JSTPH";"CON_JST_PH_2PIN_MT_BATT";"JSTPH2_BATT";"";"";"";"";"";
"X3";"ESP32-PICO-MINI-02MINI";"ESP32-PICO-MINI-02MINI";"ESP32-PICO-MINI";"";"";"";"";"";
"X6";"USB Type C";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"USB Type-C USB 2.0 Connector";"";"";"";"";
