"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C3";"10µF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"D1";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";
"JP1";"";"HEADER-1X970MIL";"1X09_ROUND_70";"PIN HEADER";"";
"Q1";"BSS138";"MOSFET-NWIDE";"SOT23-WIDE";"N-Channel Mosfet";"";
"Q2";"BSS138";"MOSFET-NWIDE";"SOT23-WIDE";"N-Channel Mosfet";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"U$1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$4";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U$6";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U1";"";"ACCEL_ADXL345";"LGA14";"ADXL345 - Digital 3-Axis Accelerometer (I2C/SPI)";"";
"U2";"";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";
