"Part";"Value";"Device";"Package";"Description";"";
"A0";"";"SOLDERJUMPERREFLOW_NOPASTE";"SOLDERJUMPER_REFLOW_NOPASTE";"SMD Solder JUMPER";"";
"A1";"";"SOLDERJUMPERREFLOW_NOPASTE";"SOLDERJUMPER_REFLOW_NOPASTE";"SMD Solder JUMPER";"";
"C1";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"CN1";"1X4-CLEANBIG";"1X4-CLEANBIG";"1X04-CLEANBIG";"4-pin connector";"";
"D1";"1N4148";"DIODESOD-323F";"SOD-323F";"Diode";"";
"LED1";"BL-M07C881UR";"DISP_SEGMENT_8X8_ROWCATHODE";"SEGMENT_BL-M07C881UR";"8x8 LED Segment Displays: Row = Cathode";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"U$1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U1";"";"HT16K33_SOP24";"SOP24_300MIL";"";"";
