"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"CAP-12416";"0.1uF";
"C2";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"CAP-12416";"0.1uF";
"C3";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"CAP-12416";"0.1uF";
"C4";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"CAP-12416";"0.1uF";
"C5";"15pF";"15PF-50V(+-5%)(0402)";"0402-CAP";"";"CAP-13063";"15pF";
"C6";"15pF";"15PF-50V(+-5%)(0402)";"0402-CAP";"";"CAP-13063";"15pF";
"C7";"1.0uF";"1.0UF-25V-+80/-20(0805)"";"0805-CAP";"CAP-11625";"CAP-11625";"1.0uF";
"C8";"2.2uF";"2.2UF-10V-20%(0603)";"0603-CAP";"CAP-07888";"CAP-07888";"2.2uF";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"D2";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"D3";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"DIO-08575";"BLUE";
"D4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"Yellow";
"F1";"500mA";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"";"M12NO_SILK";"1X12_NO_SILK";"Header 12";"";"";
"JP2";"";"M12NO_SILK";"1X12_NO_SILK";"Header 12";"";"";
"JP3";"";"USB-ABCONN-11794";"USB-AB-MICRO-SMD_V03";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"CONN-11794";"";
"JP4";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";
"JP5";"CORTEX_DEBUGPTH";"CORTEX_DEBUGPTH";"2X5-PTH-1.27MM";"Cortex Debug Connector";"";"";
"L1";"FB - 30Ohm";"INDUCTOR0603";"0603";"Inductors";"RES-07859";"";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";
"Q1";"2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Common NMOSFET Parts";"TRANS-11151";"";
"Q2";"2.5A/30V";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"TRANS-11308";"2.5A/30V";
"R1";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R2";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R3";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R4";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R5";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R6";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R7";"47K";"47KOHM1/10W1%(0603)";"0603-RES";"RES-07871";"RES-07871";"47K";
"R8";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"S1";"RESET";"SWITCH-MOMENTARY-2SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-13065";"";
"SJ1";"PWR-LED";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"PAD-JUMPER-2-NC_BY_TRACE_NO_SILK";"";"";"";
"U1";"ATSAMD21G-A";"ATSAMD21G-A";"TQFP-48";"Atmel SAMD21G SMART ARM-Based Microcontroller";"IC-13064";"";
"U2";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"VREG-12457";"3.3V";
"U3";"74AHC1G125";"74AHC1G125";"SOT23-5";"Single bus buffer gate with 3-state output";"IC-11920";"";
"Y1";"32.768kHz";"CRYSTAL3.2X1.5MM";"CRYSTAL-SMD-3.2X1.5MM";"Various standard crystals. Proven footprints.";"XTAL-13062";"";
