"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"C1";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"1.0uF";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";
"C3";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";
"C4";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"1.0uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"Owen Lyke";"";"v31";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"J1";"";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";
"J2";"";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";
"J3";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J4";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"JP2";"ADR";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";
"JP3";"AUX";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";
"JP4";"I2C PU";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";
"JP5";"LED";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";
"LOGO2";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"Q2";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"Q4";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"Q6";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"Q8";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"Q10";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"Q12";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"Q14";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"Q16";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UN";"SOT-416FL";"N-channel MOSFETs";"";"TRANS_14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"R9";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"RES-07861";"";"220";
"R10";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";
"R11";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";
"R12";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";
"R13";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";
"R14";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";
"R15";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";
