"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"SF_SKU";"VALUE";
"C1";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"";"";"10uF";
"C2";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"";"";"1.0uF";
"C3";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"";"";"10uF";
"C4";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"CAP-12417";"";"";"";"1.0uF";
"D1";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"DIO-11623";"";"";"";"1A/23V/620mV";
"D2";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"";"";"BLUE";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"";"RED";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";
"J1";"QWIIC_RIGHT_ANGLE";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"";"QWIIC_RIGHT_ANGLE";
"J2";"";"CONN_041X04_NO_SILK";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-09696";"";"";"";"";
"J3";"";"CONN_07NO_SILK";"1X07_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J4";"";"CONN_041.27MM_NO_SILK";"1X04_1.27MM_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J5";"";"USB_MICRO-B_HALF_PTH_MILL";"USB-MICROB-PTH-MILL";"USB Type Micro-B Connector";"";"CONN-13711";"";"";"";"";
"J6";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"CONN-11443";"";"PRT-08612";"";"";
"J7";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"JP1";"LED";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";"";"";
"LOGO2";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SparkFun Flame Logo";"";"";"";"";"";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";
"LOGO4";"QWIIC_LOGO_3MM";"QWIIC_LOGO_3MM";"QWIIC_3MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";"";
"Q1";"3.1A/30V/105mΩ";"MOSFET_PCH-DMG2307L";"SOT23-3";"P-channel MOSFETs";"";"TRANS-11308";"";"";"";"3.1A/30V/105mΩ";
"R1";"10k";"10KOHM-0402-1/16W-1%";"0402";"10kΩ resistor";"";"RES-14241";"";"";"";"10k";
"R2";"10k";"10KOHM-0402-1/16W-1%";"0402";"10kΩ resistor";"";"RES-14241";"";"";"";"10k";
"R3";"1K";"1KOHM-0402-1/16W-1%";"0402";"1kΩ resistor";"";"RES-14342";"";"";"";"";
"R4";"10k";"10KOHM-0402-1/16W-1%";"0402";"10kΩ resistor";"";"RES-14241";"";"";"";"10k";
"R5";"1K";"1KOHM-0402-1/16W-1%";"0402";"1kΩ resistor";"";"RES-14342";"";"";"";"";
"S1";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"";"SWCH-10651";"";"";"COM-10860";"";
"S2";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-15606";"";"";"";"";
"TP1";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";
"TP2";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";
"TP3";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";
"U1";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"VREG-12457";"";"";"";"3.3V";
"U2";"W25Q32FV";"W25Q32FVSS";"SOIC-8";"W25Q32FV 32Mb (4MB) Serial Flash Memory";"";"IC-13229";"";"";"";"W25Q32FV";
"U3";"ATSAMD21E18A-U";"ATSAMD21E18A-U";"QFN-32_SAMD";"SAM D21E 32-Pin QFN";"";"IC-14428";"";"";"";"";
