"Part";"Value";"Device";"Package";"Description";"BOM";"POPULARITY";"REV";"TP_SIGNAL_NAME";
"C2";"22pF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C3";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C4";"22pF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C7";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"C";"";
"C10";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C11";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C12";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C13";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C14";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C15";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C16";"10uF";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";"";"";"";
"C17";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C18";"1uF";"CAP_CERAMIC0805_10MGAP";"0805_10MGAP";"Ceramic Capacitors";"";"";"";"";
"CHG";"ORANGE";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";
"D+1";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"19";"";"";
"D-1";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"19";"";"";
"D4";"MBR540";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";
"IC1";"TCAN1051HGV";"CAN_TRANSCIEVER_TCAN1051V";"SOIC8_150MIL";"";"";"";"";"";
"IC3";"AP3602";"AP3602";"SOT23-6";"";"";"";"";"";
"JP1";"";"HEADER-1X16ROUND";"1X16_ROUND";"PIN HEADER";"";"";"";"";
"JP3";"";"HEADER-1X12";"1X12_ROUND";"";"";"";"";"";
"L";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";
"L2";"10uH";"INDUCTOR";"INDUCTOR_1007";"Inductors";"";"";"";"";
"LED1";"WS2812B3535";"WS2812B3535";"LED3535";"";"";"";"";"";
"Q3";"DMG341";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";
"R2";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R3";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R4";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R5";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R6";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R7";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R8";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
