"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"3V3_ISO";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"D1";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"DIO-14072";"";"";"3A/10V/280mV";
"D1_BP";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"I2C";"JUMPER-SMT_3_NO_SILK";"JUMPER-SMT_3_NO_SILK";"SMT-JUMPER_3_NO_SILK";"Normally open jumper";"";"";"";"";"";
"J1";"TEENSY";"TEENSYNOSILK";"TEENSY_NOSILK";"Teensy Footprint";"";"";"";"DEV-12646";"";
"J2";"QWIIC_RA";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";
"J3";"QWIIC_RA";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";
"J4";"QWIIC_Vertical";"QWIIC_CONNECTOR";"JST04_1MM_VERT";"SparkFun I2C Standard Qwiic Connector";"";"CONN-14483";"";"";"Vertical Qwiic Connector";
"J5";"QWIIC_Vertical";"QWIIC_CONNECTOR";"JST04_1MM_VERT";"SparkFun I2C Standard Qwiic Connector";"";"CONN-14483";"";"";"Vertical Qwiic Connector";
"J6";"ALT PWR";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"LOGO2";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";"";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO4";"QWIIC_LOGO_5MM";"QWIIC_LOGO_5MM";"QWIIC_5MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";
"R3";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"R4";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"S1";"SMD_5.2MM";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-14139";"";"";"";
