"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"C1";".1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C2";"1uf";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C3";"47uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";
"C4";"680pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C5";"680pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"IC1";"A3967SLB";"A3967SLB";"SO24W";"ANALOG DEVICES";"";
"IC2";"V_REG_317SMD";"V_REG_317SMD";"SOT223";"Voltage Regulator";"";
"JP1";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Header 2";"";
"JP2";"";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";
"JP3";"";"M041X04_NO_SILK";"1X04_NO_SILK";"Header 4";"";
"JP4";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Header 2";"";
"JP5";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Header 2";"";
"JP6";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Header 2";"";
"JP7";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Header 2";"";
"JP8";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"JP9";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"PWR_LED";"YELLOW";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";
"R1";".75";"RESISTOR0805-RES";"0805";"Resistor";"";
"R2";".75";"RESISTOR0805-RES";"0805";"Resistor";"";
"R3";"20K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R4";"20K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R5";"2.49K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R6";"390";"RESISTOR0603";"0603-RES";"Resistor";"";
"R7";"330";"RESISTOR0603";"0603-RES";"Resistor";"";
"R8";"240";"RESISTOR0603";"0603-RES";"Resistor";"";
"R9";"1K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R10";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R11";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R12";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R13";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R14";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R15";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R16";"10K";"TRIMPOT3MM-2";"TRIMPOT-3MM-2";"Various small potentiometers for "set-and-forget" applications";"";
"R17";"6.8K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R18";"1K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R19";"1K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R20";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R21";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";
"SJ1";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";
"SJ2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"TP1";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"Bare copper test points for troubleshooting or ICT";"";
"U$2";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
