"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"10uF";"10UF-20V-10%(TANT)";"EIA3528";"CAP-08063";"CAP-08063";"10uF";
"C2";"10uF";"10UF-20V-10%(TANT)";"EIA3528";"CAP-08063";"CAP-08063";"10uF";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C4";"10uF, 6.3V";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"10uF";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C9";"18pF";"18PF-50V-5%(0603)";"0603-CAP";"CAP-08267";"CAP-08267";"18pF";
"C10";"18pF";"18PF-50V-5%(0603)";"0603-CAP";"CAP-08267";"CAP-08267";"18pF";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C13";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C14";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"C15";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"J1";"";"U.FL";"U.FL";"SMD antenna connector- WRL-09144";"CONN-09193";"U.FL";
"JP1";"M12PTH";"M12PTH";"1X12";"Header 12";"";"";
"JP2";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";
"JP3";"M12PTH";"M12PTH";"1X12";"Header 12";"";"";
"JP4";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";
"LED1";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"R1";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R4";"1.8K";"1.8KOHM1/10W1%(0603)";"0603-RES";"RES-09119";"RES-09119";"1.8k";
"R5";"2.55K";"2.55KOHM-1/10W-1%(0603)";"0603-RES";"RES-11227";"RES-11227";"2.55k";
"R6";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R7";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R8";"787";"787-1%";"0603-RES";"787-ohm SMT";"RES-11228";"787";
"R9";"1.8K";"1.8KOHM1/10W1%(0603)";"0603-RES";"RES-09119";"RES-09119";"1.8k";
"R10";"1.8K";"1.8KOHM1/10W1%(0603)";"0603-RES";"RES-09119";"RES-09119";"1.8k";
"SJ1";"";"SOLDERJUMPER_2WAYT";"SJ_2";"Solder Jumper";"";"";
"U$2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"U1";"16MHz";"OSCILLATORXTAL-11225";"CRYSTAL-SMD-7X5";"Generic 5x3 and 7x5 oscillators";"XTAL-11225";"16MHz";
"U2";"3.3V";"MIC52053.3V";"SOT23-5";"MIC5205 150mA vreg";"VREG-00822";"";
"U3";"AD9837";"AD9837";"AD9837";"Programmable waveform generator, sine, triangular, and square wave outputs.";"IC-11223";"AD9837BCPZ";
"U4";"";"ADC8045";"SO08";"Unity-gain stable feedback amplifier.";"IC-11224";"ADC8045";
