"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"C1";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"CAP-12417";"";"";"1.0uF";
"C2";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"CAP-12417";"";"";"1.0uF";
"C3";"4.7uF";"4.7UF-0402_TIGHT-6.3V-20%-X5R";"0402-TIGHT";"4.7µF ceramic capacitors";"";"CAP-14240";"";"";"4.7uF";
"C4";"4.7uF";"4.7UF-0402_TIGHT-6.3V-20%-X5R";"0402-TIGHT";"4.7µF ceramic capacitors";"";"CAP-14240";"";"";"4.7uF";
"C5";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"CAP-14232";"";"";"2.2uF";
"C6";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"CAP-14232";"";"";"2.2uF";
"C8";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C9";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"CAP-12417";"";"";"1.0uF";
"C10";"4.7uF";"4.7UF-0402_TIGHT-6.3V-20%-X5R";"0402-TIGHT";"4.7µF ceramic capacitors";"";"CAP-14240";"";"";"4.7uF";
"C11";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C12";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C13";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C14";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C15";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"C16";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"15pF ceramic capacitors";"";"CAP-13063";"";"";"15pF";
"C17";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"15pF ceramic capacitors";"";"CAP-13063";"";"";"15pF";
"C18";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"CAP-14674";"";"";"22pF";
"C19";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"CAP-14674";"";"";"22pF";
"C20";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"CAP-15083";"";"";"0.1uF";
"D1";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"DIO-14072";"";"";"3A/10V/280mV";
"D2";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"DIO-14072";"";"";"3A/10V/280mV";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";
"D4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"DIO-09003";"";"";"Yellow";
"D5";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"";"BLUE";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"H3";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"H4";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"J1";"";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";"";
