"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C2";"47pF";"47PF-50V-5%(0603)";"0603-CAP";"CAP-08913";"";"CAP-08913";"47pF";"";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C4";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"CAP-00868";"1.0uF";"";
"C5";"47pF";"47PF-50V-5%(0603)";"0603-CAP";"CAP-08913";"";"CAP-08913";"47pF";"";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C9";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"CAP-00811";"10uF";"";
"C10";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C12";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"CAP-00868";"1.0uF";"";
"C13";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"CAP-00868";"1.0uF";"";
"C14";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C16";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"D1";"Yellow";"LED-YELLOWLILYPAD";"LED-1206";"Yellow SMD LEDs";"";"DIO-09909";"Yellow";"";
"D2";"GREEN";"LED-GREEN1206";"LED-1206";"Various green LEDs";"";"DIO-00862";"GREEN";"";
"D3";"BLUE";"LED-BLUE1206";"LED-1206";"Blue LEDs for production use";"";"DIO-09911";"BLUE";"";
"F1";"PTCSMD";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"";"RES-11150";"";"";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"N. Seidle";"";"";"v02";
"J1";"3.3V";"M01PTH";"1X01";"Header 1";"";"";"";"";
"J2";"UL";"M03PTH";"1X03";"Header 3";"";"";"";"";
"J3";"UR";"M03PTH";"1X03";"Header 3";"";"";"";"";
"J4";"LL";"M03PTH";"1X03";"Header 3";"";"";"";"";
"J5";"LR";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP1";"Temp";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";"";
"JP2";"Fixed Gain 32";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP3";"Load";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";"";
"JP4";"Screw";"M03SCREW_LOCK";"SCREWTERMINAL-3.5MM-3_LOCK.007S";"Header 3";"";"CONN-08288";"";"";
"JP5";"AVR_PRG";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"";
"JP6";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";
"JP7";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"";"CONN-08193";"";"";
