"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_SKU";"VALUE";
"B1";"ARDUINO_UNO_R3_SHIELD";"ARDUINO_UNO_R3_SHIELDUNO_R3_SHIELD_NOLABELS_LOCK";"UNO_R3_SHIELD_NOLABELS_LOCK";"Arduino R3 Shield Footprint";"";"";"";"";"";
"C1";"DNP";"CAP-0603";"0603";"";"";"";"";"";"";
"C2";"1uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C3";"1uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C4";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"";"10uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"I2C";"";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";
"J1";"CORTEX_JTAG_DEBUG";"CORTEX_JTAG_DEBUG_PTH_NS";"2X5-PTH-1.27MM-NO_SILK";"Cortex Debug Connector - 10 pin";"";"";"";"";"";
"J2";"";"6_PIN_SERIAL_TARGET_NO_SILK";"1X06_NO_SILK";"6-pin header connection for use with the "FTDI BASIC" pinout - TARGET SIDE.";"";"";"";"";"";
"J3";"QWIIC_RA";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";
"J4";"";"CONN_08NO_SILK_DNP";"1X08_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J5";"";"CONN_041X04_NO_SILK";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-09696";"";"";"";
"JP1";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"JP2";"";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";
"JP3";"";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";
"JP4";"";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";
"JP5";"";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";
"JP6";"";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO4";"QWIIC_LOGO_5MM";"QWIIC_LOGO_5MM";"QWIIC_5MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";
"MEAS";"";"JUMPER-COMBO_2_NC_TRACE";"COMBO-JUMPER_2_NC_TRACE";"";"";"";"";"";"";
"R1";"DNP";"RESISTOR0603";"0603";"Generic Resistor Package";"";" ";"";"";" ";
"R2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"R3";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"R4";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"R5";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"R6";"200";"200OHM-0603-1/10W-1%";"0603";"200Ω resistor";"";"RES-08220";"";"";"200";
"R7";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"R8";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"S1";"DPDT";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"";"SWCH-08179";"";"COM-00597";"";
"S2";"Reset";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-14139";"";"";"";
"S3";"";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-14139";"";"";"";
"TP1";"";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";
"U1";"DA16200MOD";"DA16200MOD-AAC4WA32";"XCVR_DA16200MOD-AAC4WA32";"Check prices";"";"IC-16179";"";"";"DA16200MOD";
