"Part";"Value";"Device";"Package";"Description";"DIST";"DIST_ID";"PROD_ID";"VALUE";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"FRAME3";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"JP1";"RASPBERRYPI-GPIOPTH";"RASPBERRYPI-GPIOPTH";"2X13-SHROUDED";"RASPBERRY PI I/O HEADER";"sparkfun";"PRT-11490";"";"";
"JP3";"USB_MICROB";"USB_MICROB_PLUGCONN-11752";"USB-B-MICRO-SMD_V03";"USB Micro-B connectors";"";"";"CONN-11752";"";
"L1";"1.0uH";"INDUCTOR";"INDUCTOR-SRP4020";"Inductors";"";"";"NDUC-12274";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SFE Logo, flame only";"";"";"";"";
"LOGO4";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"Q1";"200mA/50V";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";"";"TRANS-00830";"200mA/50V";
"R1";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R3";"200k";"200KOHM1/10W1%(0603)200K";"0603-RES";"RES-09385";"";"";"RES-09385";"200k";
"R4";"DNP";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"R5";"DNP";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"R6";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"";"RES-07856";"1K";
"R7";"680k";"RESISTOR0603";"0603-RES";"Resistor";"";"";"RES-12280";"";
"R8";"120k";"RESISTOR0603";"0603-RES";"Resistor";"";"";"RES-12279";"";
"R9";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R10";"220";"RESISTOR0603";"0603-RES";"Resistor";"";"";"RES-07861";"";
"R11";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"";"RES-07856";"1K";
"S1";"POWER";"SWITCH-MOMENTARY-2TACTILE-SWITCH-SMD-RIGHT-ANGLE";"TACTILE_SWITCH-SMD-RIGHT-ANGLE";"Various NO switches- pushbuttons, reed, etc";"";"";"COMP-12265";"";
"SJ1";"JUMPER-PAD-2-NOYES_SILK";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";
"SJ2";"JUMPER-PAD-3-NC_BY_PASTE";"JUMPER-PAD-3-NC_BY_PASTE";"PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ3";"JUMPER-PAD-2-NC_BY_TRACE";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";
"TP1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"U1";"PCA9306";"PCA9306PCA9306DC-1:1";"PCA9306DC-1:1";"Bidirectional I2C level shifter.";"";"";"IC-10023";"PCA9306";
"U2";"EDISON_CONNECTOR_FULLMOUNTING_HOLES";"EDISON_CONNECTOR_FULLMOUNTING_HOLES";"EDISON_DAUGHTER";"";"";"";"";"";
"U3";"EDISON_CONNECTOR_FULLHEADER";"EDISON_CONNECTOR_FULLHEADER";"DF40C-70DP-0.4(51)";"";"";"";"";"";
"U4";"TPS62065";"TPS62065";"WSON-8-PAD";"TPS62065 DC/DC step-Down regulator.";"";"";"IC-12273";"";
"U5";"MIC5219 3.3V";"V_REG_MIC52193.3V";"SOT23-5";"V_REG MIC5219";"";"";"VREG-09872";"MIC5219 3.3V";
"U6";"TXB0108";"TXB0108";"UFDFN-20";"8-Bit Bi-Directional Level Shifter";"";"";"IC-12292";"";
"U7";"TXB0108";"TXB0108";"UFDFN-20";"8-Bit Bi-Directional Level Shifter";"";"";"IC-12292";"";
