OOMP Summary file for Projects
OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;OOMP Parts List;
"PROJ";"ADAF";"0000";"STAN";"01";"PROJ-ADAF-0000-STAN-01";"PRPR0000";"Data Logger shield";;;;"https://github.com/adafruit/Data-Logger-shield";"Data-Logger-shield";"/Adafruit Datalogger Shield.brd";"/Adafruit Datalogger Shield.sch";;;;;;;;;;;
"PROJ";"ADAF";"0014";"STAN";"01";"PROJ-ADAF-0014-STAN-01";"PRPR0014";"Adafruit MintyBoost PCB";;;;"https://github.com/adafruit/Adafruit_MintyBoost_PCB";"Adafruit_MintyBoost_PCB";"/mintyboostv2.brd";"/mintyboostv2.sch";;;;;;;;;;;
"PROJ";"ADAF";"0073";"STAN";"01";"PROJ-ADAF-0073-STAN-01";"PRPR0073";"TV B Gone kit";;;;"https://github.com/adafruit/TV-B-Gone-kit";"TV-B-Gone-kit";"/pcb/tvbgone3.brd";"/pcb/tvbgone3.sch";;;;;;;;;;;
"PROJ";"ADAF";"0089";"STAN";"01";"PROJ-ADAF-0089-STAN-01";"PRPR0089";"Adafruit Conway Game of Life Kit";;;;"https://github.com/adafruit/Adafruit_Conway-Game-of-Life-Kit";"Adafruit_Conway-Game-of-Life-Kit";"/pcb/GoL 1.3.brd";"/pcb/GoL 1.3.sch";;;;;;;;;;;
"PROJ";"ADAF";"0091";"STAN";"01";"PROJ-ADAF-0091-STAN-01";"PRPR0091";"Adafruit USB Boarduino PCB";;;;"https://github.com/adafruit/Adafruit_USB_Boarduino_PCB";"Adafruit_USB_Boarduino_PCB";"/usbboarduino20.brd";"/usbboarduino20.sch";;;;;;;;;;;
"PROJ";"ADAF";"0163";"STAN";"01";"PROJ-ADAF-0163-STAN-01";"PRPR0163";"Adafruit Analog Accelerometers PCBs";;;;"https://github.com/adafruit/Adafruit-Analog-Accelerometers-PCBs";"Adafruit-Analog-Accelerometers-PCBs";"/Adafruit ADXL326.brd";"/Adafruit ADXL326.sch";;;;;;;;;;;
"PROJ";"ADAF";"0194";"STAN";"01";"PROJ-ADAF-0194-STAN-01";"PRPR0194";"Ice Tube Clock";;;;"https://github.com/adafruit/Ice-Tube-Clock";"Ice-Tube-Clock";"/pcb/icetube.brd";"/pcb/icetube.sch";;;;;;;;;;;
"PROJ";"ADAF";"0196";"STAN";"01";"PROJ-ADAF-0196-STAN-01";"PRPR0196";"Adafruit Proto Screwshield PCB";;;;"https://github.com/adafruit/Adafruit-Proto-Screwshield-PCB";"Adafruit-Proto-Screwshield-PCB";"/wings20.brd";"/wings20.sch";;;;;;;;;;;
"PROJ";"ADAF";"0204";"STAN";"01";"PROJ-ADAF-0204-STAN-01";"PRPR0204";"monochron";;;;"https://github.com/adafruit/monochron";"monochron";"/pcb/ratt.brd";"/pcb/ratt.sch";;;;;;;;;;;
"PROJ";"ADAF";"0254";"STAN";"01";"PROJ-ADAF-0254-STAN-01";"PRPR0254";"MicroSD breakout board";;;;"https://github.com/adafruit/MicroSD-breakout-board";"MicroSD-breakout-board";"/microsd.brd";"/microsd.sch";;;;;;;;;;;
