"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"CAPC603";"C603";"";"";
"C2";"0.1uF";"CAPC603";"C603";"";"";
"C3";"0.1uF";"CAPC603";"C603";"";"";
"C4";"0.1uF";"CAPC603";"C603";"";"";
"C5";"0.1uF";"CAPC603";"C603";"";"";
"C6";"0.1uF";"CAPC603";"C603";"";"";
"C7";"1uF";"CAPC603";"C603";"";"";
"C8";"1uF";"CAPC603";"C603";"";"";
"C9";"1uF";"CAPC603";"C603";"";"";
"C10";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C11";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"IC1";"PIC24FJ64GA002";"PIC24FJ64GA002";"SSOP28";"16-bit General Purpose Flash Microcontroller";"";
"IC2";"FT232RL";"FT232RL";"SSOP28";"USB to serial UART interface";"";
"IC3";"4066";"4066";"TSSOP14";"Quad bilateral ANALOG SWITCH";"";
"ICSP";"";"PINHD-1X5";"1X05";"PIN HEADER";"";
"IO";"CON_HEADER_2X05-PTH+SHROUDED_B";"CON_HEADER_2X05-PTH+SHROUDED_B";"PINSHRD_PTH_2X05B";"2x05 pin header";"";
"J1";"CON-USB-MINI-BUSB1";"CON-USB-MINI-BUSB1";"CONN_USB_MINI-B";"USB connector";"";
"L1";"700mA+ ferrite";"WE-KIL_0805";"WE-KI_0805_B";"SMD Wire Wound Ceramic Inductor WE-KIL";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED1A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED2A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED3A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED4";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED4A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LOGO1";"LOGO_CC-0";"LOGO_CC-0";"LOGO_CC-0";"";"";
"PCB1";"PCB_DP_RECTANGLE-37X60";"PCB_DP_RECTANGLE-37X60";"DP6037_V1";"Dangerous Prototypes Standard Rectangular PCB sizes";"";
"R1";"2K";"RESISTORR603";"R603";"";"";
"R2";"1K1";"RESISTORR603";"R603";"";"";
"R3";"1K1";"RESISTORR603";"R603";"";"";
"R4";"1K1";"RESISTORR603";"R603";"";"";
"R5";"2K";"RESISTORR603";"R603";"";"";
"R6";"1K1";"RESISTORR603";"R603";"";"";
"RN1";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN2";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN3";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"VR1";"MCP1801T-3302I/OT";"MIC5205";"SOT-23-5";"150ma Low-Noise LDO Regulator";"";
"VR2";"MCP1801T-3302I/OT";"MIC5205";"SOT-23-5";"150ma Low-Noise LDO Regulator";"";
"VR3";"MCP1801T-5002I/OT";"MIC5205";"SOT-23-5";"150ma Low-Noise LDO Regulator";"";
