"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"2.2UF";"2.2UF50V10%(1206)";"1206";"CAP-10009";"CAP-10009";"2.2UF";
"C2";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"4.7uF";
"C3";"1.0uF";"1.0UF-25V-+80/-20(0805)"";"0805-CAP";"CAP-11625";"CAP-11625";"1.0uF";
"C4";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"4.7uF";
"C5";"2.2uF";"2.2UF-10V-20%(0603)";"0603-CAP";"CAP-07888";"CAP-07888";"2.2uF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C7";"15pF";"15PF-50V-5%(0603)";"0603-CAP";"CAP-07881";"CAP-07881";"15pF";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C9";"15pF";"15PF-50V-5%(0603)";"0603-CAP";"CAP-07881";"CAP-07881";"15pF";
"C10";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C12";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"D1";"BAT20J";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diodes in SFE's production catalog";"DIO-11623";"BAT20J";
"D2";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"D3";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"D4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"DIO-08575";"BLUE";
"D5";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"D6";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"Yellow";
"F1";"500mA";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";
