"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"Marshall Taylor";"";"";"v10";
"JP1";"TEENSY-3.1NOSILK";"TEENSY-3.1NOSILK";"TEENSY-3.1_NOSILK";"";"";"";"";"";
"JP2";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"";"CONN-11563";"";"";
"JP3";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"";"CONN-11563";"";"";
"JP4";"DNP";"M14";"1X14";"Header 14";"";"";"";"";
"JP5";"DNP";"M05PTH";"1X05";"Header 5";"";"";"";"";
"JP6";"DNP";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP7";"DNP\";"M18_";"1X18";"1x18 .1" header";"";"";"";"";
"JP8";"DNP";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP9";"CONN-09042";"XBEE-1B3";"XBEE-SMD";"Xbee module footprints";"";"CONN-09042";"";"";
"LED1";"Red";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"DIO-00819";"RED";"";
"LED2";"Red";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"DIO-00819";"RED";"";
"LED3";"Green";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"DIO-00821";"GREEN";"";
"LED4";"Green";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"DIO-00821";"GREEN";"";
"LED5";"Green";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"DIO-00821";"GREEN";"";
"LOGO1";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SFE Logo, flame only";"";"";"";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";"";
"R1";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R2";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R3";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R4";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R11";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"S2";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"";"SWCH-08179";"DPDT";"";
"S3";"Reset";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";"";
"SJ1";"D_TX";"JUMPER-PAD-2-NC_BY_PASTE";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK";"";"";"";"";"";
"SJ3";"D_RX";"JUMPER-PAD-2-NC_BY_PASTE";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK";"";"";"";"";"";
"SJ4";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ5";"EXT_JPR";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
